story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_pca_1d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_pca_1d
threadreaderapp,0.0016757332117298,-0.0027719228542233,-0.0019238034120565,0.0010892858963993,-0.0025075476364502,1.578404770767594e-05,-0.0012389524844597,0.0014675771644766,-0.0021220277421721,-0.0010457985098803,0.0014659704138311,-0.001542679432566,0.0009627443146359,-0.0018519203878053,0.0008049665818,-0.0011360161580759,0.0018944667818808,0.0002064891949815,0.0008226492199724,-0.0014471283875988,0.0011406729822131,-0.0009961527208575,0.0014168827630074,-0.0006825151289957,-0.0013539226923035,-0.0014376211263879,0.0014659330168494,0.0001315111179017,0.0004784693016705,-0.0003333319882171,-0.0004110662563986,0.0013831679812691,-0.0017396972808047,3.1454796837006826,0.9110088241032698,0.0034956840009379,-0.0062001039554915,0.0092331362994339,-0.0016396535749527,0.0074211924763647,-0.0024186640876165,0.0019475256256601,-0.002049617239018,-0.0043889376934965,0.0048869485733883,-0.004464128160827,-0.0049087917691859,-0.0002842024721766,-0.003815109529107,0.0068050592407573,-0.0010427848239492,0.0023541836793238,0.0003677645863494,0.0025894104482495,-0.12412982575459293,0.551054295564566,,,,,,,,,,,,,,,,,,,,,,,,
ccma,0.0018867800372407,-0.0017804481737012,0.0001763521542925,0.0006595542899179,-0.0010361291116722,-0.0001551391371623,-0.0008643257521524,0.0014498028441398,-0.0016308063855405,-0.0003981958967412,0.0005610871992866,-0.0006154096756269,0.0006127648099732,-0.0006593247743654,0.000774206978089,-0.0018017339656199,0.0006487091218929,-2.2105317585602476e-06,0.0005709140332018,-0.0011259722592377,0.0026318884646536,-0.0021177633388763,0.0011242374932004,-0.0010972545023966,-0.0004264314516828,-0.0009178421283725,0.0020724871443789,0.0001622084844145,0.0013801211206752,-0.0005581542280213,-0.0002992019776929,0.0016788195663111,-0.0012923364010753,1.3507793044428797,1.426500845025789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cronicalibre,0.000874833117653,-0.0009855485398303,-0.0008135899610642,0.0014841677928769,-0.0014866005073086,-0.0002256049084521,-0.0008607636616577,0.000869745247338,-0.0009180594162221,-0.0008772402321123,0.0008902663487985,-0.0007062277997474,0.0009053057824936,-0.0013942405637022,0.0007309164366337,-0.0006039472325009,0.0007417905038719,0.000166740698965,0.0006200455914805,-0.0008105621886738,0.0006655787530533,-0.0009996152846056,0.0008758114287047,-0.0002858622392411,-0.0005457398586966,-0.0012407758274884,0.0007152952951853,7.212376904579206e-05,0.0007446500409187,-0.0005885619867047,0.0002887284441123,0.000713971873996,-0.0012770538895116,0.03981178046623944,1.128895399881187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diario16,0.0029363061678367,-0.0036730888683982,-0.00194991002877,0.00158813282245,-0.0024030265820609,-0.0003680566079848,-0.0027652137996491,0.0004502709984095,-0.0028625726002662,-0.0010771927321965,0.0005895697777583,-0.001860541372575,0.0006818059022586,-0.0007543847305292,0.0013168970690022,-0.0018290021093876,0.0032336231571166,0.0002780213908636,0.0004341604235656,-0.0020523859855009,0.001277660786873,-0.001486541254686,0.0014761373907867,6.912604103416118e-05,-0.0004592383567116,-0.0004922659402206,0.0016070338259771,0.0009636210927128,0.0009225454968573,-0.0017913434405304,-0.0003319726847461,0.0010828096016662,-0.0009908535778924,3.379329774494775,1.3969860038396145,,,,,,,,,,,,,,,,,,,,,,0.0095814299448431,0.0051630840039405,2.14652797686719,-0.2915276139273101,,,,,,,,,,,,,,,,,,,,
diariolarealidad,0.0033592759857023,-0.0022928313862618,-0.0033609663532629,0.0006064963385467,-0.0024217636079522,0.0007408283953996,-0.003870146881251,0.0001604829212845,-0.0040799393103798,-0.0015048764996452,0.0003079889777841,-0.0005330715863186,0.002243325853744,-0.0005435814536022,0.0007538638075373,-0.0027273902242231,0.0015553417530464,-1.8510539955262265e-06,0.0003400053322103,-0.0008272056927494,0.0022040390707069,-0.0001858593988244,0.0006830033143329,-0.0002365763311592,-0.000450668994599,-0.0007669398555834,0.0007787901909108,5.384969388694239e-05,0.0023416958225933,-0.0006296724360327,-0.0001177829949677,0.0045803807202828,-0.0016203709261956,3.097240061219818,0.9562972427965313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electomania,-0.0013026354952767,-0.0004844608287577,-0.0005528834324521,0.0005822514068641,-0.0026776883493483,-0.0004521229976028,0.0021229845569689,0.0021799269973058,-0.0004150235076029,0.0009276753808033,0.0006203777525834,-0.0020592380315496,0.0005656379299111,-0.0005652456621257,0.0006533985817547,-0.0007785073918268,0.0007380449529971,5.170914285072652e-06,0.0005177520521992,-0.0007578470098083,0.0006880860378677,-0.001986340694852,0.0006732229955751,-0.0002732879678432,-0.0004623664996035,-0.0006415017249383,0.0008257294399335,8.84918831695709e-06,0.0023650208301884,-0.0008464514330917,-0.0052879495811799,0.0008233976964001,-0.0017029174678347,-1.3966741442851704,0.3611095267769198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elmon,0.0005018767847279,-0.0014296199547663,-0.0020222535804927,0.0006086419898893,-0.0022792552141138,0.0007954262819631,-0.0006763656135092,0.0005300275115112,-0.0008785745461716,-0.0006987549712802,0.0039815886978726,-0.0005689913660012,0.0023493869108291,-0.0023337936094567,0.0006545333171155,-0.0008160804401932,0.0007715801357123,-6.025327463030864e-06,0.0005640196976195,-0.0011978670901286,0.0041828622325474,1.6000925513320885e-05,0.0006786603958737,-0.0002417927738797,-0.000444491456049,-0.0007153698265995,0.0007097770402295,7.127114954692555e-05,0.0004329259990234,-0.0005544878907679,0.0015246510976739,0.0009365134931621,-0.0035457016726055,2.7283651947345633,0.2194987565918253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elplural,0.0040061717318967,-0.0039141877981012,-0.0018590545330469,0.0010228492629237,-0.0018955839504907,-0.0001713416456091,-0.0016055682267919,0.0010190914157889,-0.0014459971865495,-0.0019293785698374,0.0010253083238966,-0.0009726193314359,0.0006198724447111,-0.0013181683898207,0.0013129216287587,-0.000770661457731,0.0019353980853435,0.0004171639896481,0.0007891508125723,-0.0010158554776422,0.0006533032533282,-0.0006614896595231,0.0009488998165059,-0.0002626553835484,-0.0006285921084847,-0.0008046375576662,0.0009908155175936,0.0001433903863606,0.0007513462592837,-0.0009199777962809,-0.0006193414792014,0.0009941044216801,-0.0010277690328533,1.8854471160207906,1.041808169016027,,,,,,,,,,,,,,,,,,,,,,0.0055046150758794,0.0048860572821561,1.348018374858504,0.3827565462663988,,,,,,,,,,,,,,,,,,,,
infolibre,0.0031018257285904,-0.0034629577996523,-0.0018484834213934,0.001334613720904,-0.0020940331956074,-0.0002021137205528,-0.0015735457148037,0.0010676261944975,-0.0012845270211591,-0.0010973360639736,0.0011332640385164,-0.0007032392817142,0.0010047629048258,-0.0008653959293558,0.0009269129491214,-0.0002922893715148,0.0013900568358159,-0.0001215922830165,0.0009439241021593,-0.0011281670615026,0.0007266985366701,-0.0006475779026419,0.0006441228131763,-0.0002107216900468,-0.0007314229411045,-0.0007803601921395,0.0008976482862227,0.0002054115167318,0.0005424432292697,-0.0006299640085149,-0.0002755289215896,0.0005449756997848,-0.00093841187447,1.2048273532023857,0.9735141758679954,,,,,,,,,,,,,,,,,,,,,,0.007229848206703,0.0022634859959411,1.0716359959099178,-0.5168850865584348,,,,,,,,,,,,,,,,,,,,
maldita,0.0020118259515073,-0.0019123024807596,-0.0005145828075311,0.0005239317153908,0.0009852204623595,-0.0013938880501691,-0.0006412520044184,0.000486152723275,-0.0005234548153273,-0.0003598507436386,-0.0017515031101884,-0.0005631474657437,-0.000630680428489,0.0005895676411015,0.0005323179390946,0.0015967439974121,0.0011438188173399,2.1748648687823545e-07,-0.0005797326239789,-0.0007190097787081,0.0005608985795575,-0.0004764303997275,0.000746855899935,-0.0002685619796796,-0.0004717157181561,0.0005873048039197,0.0008759858069276,4.8698380589509615e-05,-0.0005520565105821,-0.0019306310820608,-0.0029247215566098,-0.000650539692524,9.078611601073816e-05,-3.90406721346253,1.834576015037876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naiz,0.004411573187274,-0.0004652822103952,-0.0015519646483142,0.0031984130394217,-0.0028267687978004,-0.0010585005885982,-0.0009510281601905,0.0022796552430228,-0.00171482960595,-0.0005285852539321,0.0031741545335756,-0.0005918357200538,0.0006041346931613,-0.0006596626859381,0.0007878834021216,-0.0010904692029135,0.0015897594404646,-0.0006439943724297,0.0023426021237294,-0.0009232742716903,0.002322259078682,-0.0002433706105794,0.0011504653714955,-0.0010808643483887,-0.0004380114888471,-0.0008033349295705,0.0012594891024973,0.0007882937402102,-0.0004866293701466,-0.0005917859205576,0.0005776160537851,0.0025724046752585,-0.0011926775219257,3.53977806873406,1.5206461401876203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theobjective,-0.0005108219775135,-0.0011235135687415,-0.0005785959001455,-0.0021033347451643,-0.0024016531902087,8.71796171359586e-05,0.000137221096146,0.0012242185711631,0.0001118565181545,0.0037940679001459,6.223338340583299e-05,-0.0006835478913741,0.001403434291308,-0.0006188996987279,0.0007468061091083,-0.0022595899441319,0.0004355806154994,2.1705438947776347e-05,0.0004695321521263,-0.0007228541840112,0.001222747939436,-0.0003272959591445,3.420549141988779e-05,-0.0006103803119931,-0.0005301472249605,-0.0007244394097981,0.0013574173266211,-0.0004712045020162,0.0014312383167749,-0.0006682484375974,-0.0029753803842552,-0.0008908298210032,-0.0003821523949559,-3.360816469014084,-1.0566974247223848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vilaweb,0.0004383527598739,-0.0004081257740937,-0.0018589277468681,0.0005775174618105,-0.0021421630538035,0.0007010087922899,-0.0020713104660768,0.0002988957722788,-0.0008791597922794,-0.0019570279662402,0.0004625028365625,-0.0005719164634402,0.0021561483373164,-0.0021404205388594,0.0038309311083566,-0.002071308978959,0.000170516798209,-4.157405817908542e-07,0.0003273599842672,-0.0005141539883896,0.0004442016437105,-0.0003785735387859,0.0006347039978369,-0.0002411900030115,-0.0004113516249039,-0.0006124153331771,0.0006354877880127,5.3618144096879144e-05,0.0004628012056142,-0.0005530784425368,-0.0003932432314461,0.0007115826391281,-0.0018521949576783,0.596594516567835,-1.3146222536195686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordpress,0.0004910392712134,-0.0012671832666794,-0.0005749495756664,0.0006014619983789,-0.0011410208959167,-0.0001573203534574,-0.0045818256397613,0.0012748835915219,-0.0007718819913996,-0.0016919885322494,0.0003994275674526,0.0007737640576955,0.0005754497567682,-0.0019324077857312,0.0019744132332983,-0.0006698453554345,0.0006737787376916,-8.465521579767963e-07,0.0004948364590678,-0.0008455628799247,0.0018668047942918,-0.0002765304357758,0.0008440943131007,-0.0002508536938558,-0.0018598994749115,-0.0021849546233625,0.0012924312693229,0.0011476308093225,0.0003158149021851,-0.000433194951512,0.0011343082681332,0.0020323467656106,-0.0014647743011235,2.0219371183067016,1.449895407292255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blogspot,0.0013228066468278,0.0008112343232099,-0.0004334069016598,-0.0012193261450067,0.0005962436955566,-0.0011966368295782,-0.002535699800845,0.0002598573329342,-0.0024513036825258,-9.231346726830925e-05,0.000372712156325,0.0014729891894144,0.0025304548141056,-0.0004958397358005,0.0006556426842519,-0.0027243394564154,0.0001957691100807,2.0054495396403507e-06,0.000386317500954,-0.0008344057871809,0.0025187576917926,-8.921703150856317e-05,0.0005773878351702,-0.0001932854207198,-0.0003774620421439,-0.0005573654554251,0.000521826139312,7.291776843540302e-05,-0.0017924304961103,-0.0028195665456027,-0.0002831377195857,0.00058216303526,-0.0006939103532297,-1.4693162236981987,1.2026069529384629,,,,,,,,,,,,,,,,,,,,,,-0.0004252877510333,0.0011344563186718,-0.5642566379679149,0.6127234979772052,,,,,,,,,,,,,,,,,,,,
cope,0.0005384320261689,-0.0012961398289921,-0.0006012685155374,0.0006273218956644,-0.0019060965265868,0.000559045178246,-0.0006230228159219,0.0005035149227818,-0.0006863344285992,-0.0005093466127447,0.0005519247800948,-0.0006185304441269,0.0018683958625709,-0.0005647161995394,0.0006546310566119,-0.0007601681843068,0.0007438634613801,2.9333604098602886e-06,0.0005212731533764,-0.0006767658496903,0.0005329112220298,-0.0004719586862747,0.0008640757333078,-0.0002945444973117,-0.001834576474017,-0.0006656625289803,0.0007494947409868,5.045884847843234e-05,0.0018940936033201,-0.0005322824695257,-0.0004301949877817,0.0005842792754338,-0.0006851032769491,-1.179481112039754,-0.08065617370257601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctxt,0.0059938276067216,-0.0039838419992974,-0.0023602306818903,0.0018944044596967,-0.0047881414461542,-0.0003739288797616,-0.0044709081715022,0.0007285637059674,-0.0032915315460311,-0.0024133390939916,0.003063649113454,-0.0011579308708156,0.0006852712968327,-0.0018029289844282,0.0024888261021604,-0.0021487933315858,0.0014763308756739,7.893311490688415e-08,0.0011259884819473,-0.0038317322713037,0.0025371943546077,-0.0026945404826095,0.0009222745144656,-0.0007118172695054,-0.0004602222767929,-0.0024495288108162,0.0012352777334767,0.0001295616784079,0.0004203552273636,-0.0021444060183882,0.0007823252115779,0.0011783556150681,-0.0007545581674705,7.576666113305716,0.6539919316023242,0.0093840019106838,-0.0131288965095053,0.0269697483898589,-0.0056751670547824,0.0123188537454372,-0.0073709888068084,0.0074978840772356,-0.009546824806489,-0.0075258369084737,0.0027669564538796,-0.0126063850950449,-0.0058585189917192,0.0035715191820751,-0.0230199462075445,0.0141651272954257,0.003147228837685,0.008402782278399,-0.0027274106726674,-0.0001317965492494,-3.0857077041445913,0.32341557632305584,,,,,,,,,,,,,,,,,,,,,,,,
efe,0.0012083464940555,0.0014140450556226,-0.0017626135666209,0.0030782422065338,-0.0015826327719036,-0.0012256069039144,-0.0005452529809291,0.0004423808489766,-0.0006553763939339,-0.0005075507215544,0.0019028669477789,-0.0005413991783021,0.0020149397185184,-0.0005523049751378,0.0022633714708027,-0.0038187619358163,0.0010978509582917,-4.720180303839467e-05,0.0017240907078077,-0.0018884626936383,0.000104311709419,-0.0002172206566018,-0.0001055073460423,-0.0022821674096734,-0.0018968632770815,0.0009698683916064,0.0010916430901843,-0.0021632852004664,0.002093800915262,-0.0005806844306725,-0.0019714705010633,0.0006096313933944,-0.0006658215025849,-0.4468046026247906,-3.2777406378753806,0.0013320787084795,-0.0010744437772485,-0.0033035965041809,-0.0016616172390672,0.0017491550678462,-0.0004379394199671,0.0012801063860866,-3.614602870450484e-05,0.0006345104847524,0.0016953986869517,-0.0011899059230737,-0.0011902580492179,-0.0019697754582569,-0.0018541055151934,0.0007371525069324,-0.001333456755394,0.0011241529775833,-0.0008629562702651,0.0005345541738003,1.4520840417872203,0.40460734077477156,,,,,,,,,,,,,,,,,,,,,,,,
elcorreo,-0.0003473258447322,-0.0004777889154593,-0.000587461798128,0.0006172571928077,-0.0017378400916563,-0.0011900663535034,-0.0020337215234803,0.0015923179589909,-0.0005807394744801,-0.0004423399989539,0.0004981471386902,-0.0005604254541128,0.0005688749714064,-0.0005754204381052,0.0006898711599164,-0.002097057657537,0.0004003467370688,5.460824144922871e-06,0.0004358497702364,-0.0005996234707888,0.0004763188302363,-0.0004187492012266,0.0006927255099139,-0.0002639322390067,-0.0004516945339923,-0.000491439032729,-0.0003123232109221,0.0009787669274024,0.0021214939944932,-0.0006475344231275,-0.0019326613990964,0.0006316385434369,-0.0006870112382056,-1.5087827324691838,1.1128760235617337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eldebate,-0.0001238701810585,0.0001278282838406,-0.0006027492223055,0.00144426335623,-0.001550073419512,0.0003658038913757,-0.0005608732785296,0.0004629556625645,-0.000570800472068,-0.0004172591892658,0.000452325514435,0.00217361821109,0.0005850186556697,0.000357534660091,-0.0003155330103502,0.0001094343186212,0.0009479625464662,2.897418228401519e-06,0.0005458937512535,-0.0005912513336215,0.0004150365226094,0.0004835875627671,-5.778713137459101e-05,-0.0006968378724625,-0.0005665322340224,-0.000853922857589,0.0020470813429422,0.0001553139189204,0.0004903571851128,-0.0005020873582446,-0.0006538770446373,-0.0013607389498697,-0.0008972142958341,-2.597968854765434,-0.04643690854284387,0.007898227668114,-0.0058341105516523,0.0061160676909454,-0.0050422097802208,0.0018888658803473,0.0029492096399712,0.010103656398812,-0.0010498488482777,-0.0025114298990542,0.0055918942514329,-0.0023001688194775,-0.0052541067382649,-0.0009810666388761,-0.0013001541019192,0.0009673074439508,-0.0057853715544215,0.0021509034941263,-0.004444101295507,0.0073309742842978,0.042521963650860625,-0.2951646637188297,,,,,,,,,,,,,,,,,,,,,,,,
jotdown,0.0003074876102129,-0.0002908334125254,-0.0021657631690466,-0.0014669327089583,-0.0007169427719084,-0.0001103505527986,-0.0005179918793554,0.0004109058604147,-0.0005523694891093,-0.0004023827908393,0.0004758982158109,-0.0005699044183327,0.0096370367251945,0.0021200988085358,0.0004820159723008,-0.0005519043672577,0.0005469182843066,3.921833877818337e-06,0.0003848159367277,-0.0005173133698018,0.0004087742640917,-0.0003691336822315,0.0007457458207045,-0.000260857805912,-0.0029056188896752,-0.0004492205116937,0.0005313522559054,2.154826522815878e-05,0.0005054804675758,-0.0005933052841367,-0.0030318784938655,0.0005562500017597,-0.0004887689607093,-2.941273036635983,-1.4265065059779194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamarea,0.0012476443019756,-0.0016202704287568,-0.0013374325086433,0.000773952936227,-0.0024114871436584,-0.0008055355770081,-0.0014990388243524,0.0011616604293531,-0.0022719973944848,-0.0016603220885583,0.0017574970816884,-0.0018584418675491,0.0005957643107594,-0.0006562172670165,0.0013623889640824,-0.0003411429532844,0.0014398623966262,-0.0004454892289116,0.0012043535968301,-0.0014288407343459,0.0006101497917945,-0.0017141812783988,0.000803332371607,-0.0002647393913651,-0.0005169957219032,-0.0015091944137448,0.0014680081177806,0.0010464277650855,0.0004585967443693,-0.0012070043731738,0.0002836672620624,0.0013310332496009,-0.0011671261328992,2.4776834502308094,1.4728486029798795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larazon,0.0004793265270014,-0.0004542916112307,-0.0017674799864777,0.0006143794982601,-0.0030144257330975,0.0013670384922823,-0.0005381587153527,0.0004587437119288,0.000601846625687,-0.000779261714914,0.0019575843195702,-0.0006072722917182,0.0020202573006022,-0.0006020574835842,0.0008132522059991,-0.0036285354542632,0.0001683455034378,8.522058414236973e-06,0.0004432218654746,-0.0007828637022122,0.000708180117449,-0.0019238785525432,0.0015417123944009,-0.0016465589828743,-0.0033294890970235,-0.0007486431764822,0.001696895896173,0.0011651826853906,0.0020678246221133,-0.0020694019079386,-0.001986731412213,-0.0009090868184385,-0.0008493267062556,0.6187007526130338,-3.4589413356721397,0.0047577963476979,-0.0018954266697181,-0.0096883651142632,-0.0015902965268951,0.0033284237519235,0.0014982314850063,0.0011060795699999,-0.0009439386303704,0.0028710660226059,-0.0007185429900917,0.0004263879155236,-0.0012009464195039,0.0004442484243233,0.0006571429074548,-0.0031538518467419,-0.0035537750312735,-0.0030643949947251,-0.0030567806116577,-0.0012370958795216,1.784812653845771,0.2964850130256535,,,,,,,,,,,,,,,,,,,,,,,,
laregion,0.0004000017420861,-0.0003673783662303,-0.0004999934938454,0.0005237365207616,-0.0007940932630979,-0.00012241756449,-0.0005867397951632,0.0004530898802542,-0.000620176102641,-0.0004612709082154,0.0004821328481648,-0.0005230354111144,0.0004920817946111,-0.0005278572265317,0.0005705739517465,-0.0006600364467367,0.0006466349067786,-3.0822316564840704e-06,0.00046057093421,-0.0005937340440786,0.0004667822423865,-0.0004100803166279,0.0006843254109198,-0.0002102571571922,-0.0004137157198088,-0.0006250243042967,0.0005269330097443,0.0001057755683405,8.350091235269865e-05,1.3935464359012258e-07,0.0076706757857291,0.000265653658672,-0.0007415415745691,-1.5544004806651561,1.8023176938854442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lavozdelsur,0.0027632867857192,-0.0004709764031575,-0.0007129517243446,0.0026936161380495,-0.0016833104547575,-0.0010005977341825,-0.0007889943479803,0.0006070251841313,-0.0029041927556853,-0.0002380571882704,0.0005573572608807,-0.0006731828430331,0.0017515115922798,-0.0017622168504203,0.0008102372893605,-0.002151910305151,0.0014302963514002,-2.195930644487888e-06,0.0015859797159042,-0.0017642239697621,0.0003495949399318,-0.000404895015438,0.0012693810558458,-0.0012834145720437,-0.0004384351891001,-0.0008450430921644,0.001581442312144,-0.0006758024793738,0.0004068686613722,-0.000525903634801,0.0007620255175645,0.0006672440132417,-0.0008291256873389,1.33113531130427,0.7015035549396246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marca,0.0012460270522881,-0.0023941128439667,-0.0006281825111676,-0.0001370470709049,-0.0013695794107435,-0.0020070345516967,-0.0016517545978901,0.0012882582607691,-0.0029110430097761,0.0015938691818791,0.0005753438642069,0.0001797361387342,0.0049961247998041,-0.0014041606499174,0.0007236443888697,-0.0025054371015028,0.0003703802228131,6.4689807048225195e-06,0.0004651163968326,-0.0007896540635286,0.0013992852842593,-0.0003588783273091,0.0019770714795701,-0.0007017678524179,-0.0012687379190894,-0.0007878135746765,0.0018331469006964,0.0014301348415874,0.0005343312679675,-0.0005966536613213,-0.0014933572705648,0.0006685497342082,-0.0013327459066198,0.398217303780888,0.44132117017664724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noticiasdenavarra,0.0012646482507033,-0.0011843605491443,-0.0006477747184577,0.0006633177855608,-0.0010485431485102,-0.0001565088730932,-0.0016614697934963,0.0004541487949149,-0.00089845785277,-0.0014747894357984,0.0005415295779176,-0.0015623623957277,0.0005802762203939,-0.0006212262409116,0.0016510254359252,-0.0007364807584329,0.0007323884318288,9.64587442372388e-07,0.0005220844905113,-0.0006916147963783,0.0005480136673125,-0.0004835512594075,0.0008814893860607,-0.0002865439532764,-0.0015033557919643,-0.0017665128640079,0.0011725277841849,0.0008298247046948,0.0004526445795571,-0.0005407346843712,-0.000415661919782,0.0006112071843462,-0.000690611180199,0.05779424387027825,0.31535434709353277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
