story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_17,Politics_18,Politics_19,Politics_20,Politics_21,Politics_22,Politics_23,Politics_24,Politics_25,Politics_26,Politics_27,Politics_28,Politics_29,Politics_30,Politics_31,Politics_32,Politics_33,Politics_34,Politics_35,Politics_36,Politics_37,Politics_38,Politics_39,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_11,Russia_12,Russia_13,Russia_14,Russia_15,Russia_16,Russia_17,Russia_18,Russia_19,Russia_20,Russia_21,Russia_22,Russia_23,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_pca_1d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_6,Crypto/net_7,Crypto/net_8,Crypto/net_9,Crypto/net_10,Crypto/net_11,Crypto/net_12,Crypto/net_13,Crypto/net_14,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_pca_1d
20minutos,0.0053675367552408,0.0007743698057084,0.0031323572919902,-0.0020555270023762,0.0018988729869901,-0.0003998063386007,-0.0017453745394651,0.0005753747714375,-0.0004260977126967,0.0018037779377283,0.0093493641974128,0.0037301689772366,-0.0022840970861133,0.0013078274815309,-0.0025953657901981,0.0014833686093366,-0.0018168973265269,-0.0002065992184573,0.0036084058517447,-0.0024105697723413,0.0037538733936953,-0.0015196664004266,0.0022491059630217,-0.0009605772431339,0.0003961455921635,0.0005963567896781,0.0049088119163846,-0.0007287695496623,-0.000621008458148,-0.0014144814703434,0.0023262590951328,-0.0028557832747533,-0.0002942391735554,-0.0005543304878125,0.0038850605352103,-0.0023962028182194,0.0002024699386644,-0.0024613653300097,0.0019659239846838,0.001166180003254,0.5035488689641489,-1.829409269668136,0.0038293191991006,-0.0154149659222257,-0.0028122644560688,0.0055688958735847,-0.0095496622696665,0.0105952524316729,0.0001497976811575,0.0099046491366354,0.001139554740215,-0.0053319846884581,0.0062904533472261,-1.2194524818109204e-05,-0.0013093488323821,-0.0004248246773963,-0.0051628606859074,8.418216237124094e-05,-0.0077503497241357,-0.0046102808836174,0.0010949369219105,0.0008855668470098,0.0081945819227435,-0.0123597734390875,-0.0064096561997876,0.000208260983258,-1.5076707377822263,1.586861498081938,-0.0013636775231888,-0.0002816150973915,-1.256181613833424,0.523460019497159,-0.0219180454106367,-1.0454512869274866,,,,,,,,,,,,,,,,,,,
antena3,0.0025324668097477,9.72732758712554e-06,0.0006184641859238,-0.0007249304589822,0.0004557901924531,-0.0006844892841823,-0.0002897686135977,-0.0012310860208448,-0.0009449337095196,0.0005326887218664,0.0010895947729867,0.0004381581444456,-0.0004055570967043,0.000781977736117,-0.0004114778998055,-0.0012550427910613,-0.0010728072793835,0.0006536260241012,0.0028438105190797,-0.0006746736744962,0.0005386816710434,-0.0004792056564279,0.0007153252345079,-0.0005574984474349,-0.0004638948512183,-0.0014917346469416,0.0031472089997507,-0.001500519851536,0.0013881587721366,-0.0041363479445381,0.0019341027981427,-0.0043362092904156,0.0013341494225412,-0.0007177644810425,0.0007388690831639,-0.0030006245174105,-0.0003135522593593,0.0013586097221762,0.0028027784543844,0.0008461661697965,3.4785649721247274,0.781337838150437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0134331554311983,0.3397225791645812,,,,,,,,,,,,,,,,,,,
cadenaser,0.0061323813075477,-0.0053502908232688,0.0028991754332724,-0.0033812776371748,0.001862914933567,-0.0024915003254122,-0.0024417803760436,0.0010228220264786,-0.0018284311209666,0.0011334748448866,0.0017953604701075,0.0009301098998063,-0.0005634062610557,0.0024837911515336,-0.0010565371243524,0.0016045107779384,-0.0017209019373982,0.0010796523674705,0.0021270961990417,-0.0018405961017303,0.0009686927549587,-0.0007955290637044,0.0015396064838658,-0.0018953074899336,-0.001113263163099,0.0017162981004257,0.0011983753596569,-0.0018215427299368,-7.083930398049491e-05,0.0003427220100888,0.0014047589646378,-0.0011139771125422,-0.0002739174704303,-0.0003969025100902,0.0020255015928071,-0.0013493206991107,-0.0017006598819498,-0.0008200930541521,0.0013376523713724,0.0011599604021987,-2.4364879327686695,0.4398448643122256,0.0045476332280963,-0.0115544493319611,-0.0111336321915184,-0.0007440128251171,-0.0026485192909591,-0.002340243711274,-0.0027045927001652,0.0063320552341715,0.0066256850960305,-0.0036325207759869,0.0153692642843659,4.579227076964651e-05,0.0026991651558378,-0.0020097193288582,-0.0019752242569234,0.0055956164802352,-0.0053744091524818,0.0009265281235299,0.0068036004447674,-0.0017240289254338,-0.0042212844224446,-0.0080947798361673,-0.0006320507182977,0.0088088786957969,-2.1700700140517455,0.8440372359331824,-0.0135421785646815,0.0111487015390772,1.1559266779632575,0.24284546258540246,-0.020532270323791,-0.819220959930698,,,,,,,,,,,,,,,,,,,
catalunyapress,0.0026906030334571,-0.0011338940466765,0.0049428228027932,-0.0028395113598431,0.0029576764966772,-0.0012940350198134,-0.0041201074910935,-0.0007860143768936,-0.0005106448313427,0.0004633614837247,0.0039975095554467,-0.0007948037834419,-0.0002589266632752,0.0034014070142445,-0.0030416958181573,0.0024008731033345,-0.004632982369199,0.0015205337201663,0.0008196289223089,-0.0025381809426121,0.0002814758937237,-0.0004841589064704,0.0026015889289307,-0.000504393327753,-0.0023902783688898,0.0021464331491986,0.0025082433968253,-0.0017621603735232,-0.0012743754113147,-2.7713505466784453e-05,0.0011364377006284,-0.0028999258774138,0.0023076996198353,-0.0016175343054482,0.0024214777872722,-0.0026273064920824,-0.0003129032974432,0.0009468532832529,0.0058281829780518,-0.0009958363929799,-1.382904588616972,0.9066685752378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0157494426083774,-0.03841555485575169,,,,,,,,,,,,,,,,,,,
eldiario,0.0066134982277959,-0.0089883721161707,0.0037065065685571,-0.0047156533049404,0.0023253247914353,-0.0032308798931385,-0.0038118437181091,0.0012739468634719,-0.0027891614213546,0.0012100757268424,0.0021940902441646,0.001332338445992,-0.001211690706742,0.0035986211067283,-0.0028761261302367,0.0014640225678733,-0.0025933935876306,0.0014519207884201,0.002027731127991,-0.0023369778079113,0.0014459936017188,-0.00173934728972,0.0018911845572202,-0.0014402752637237,-0.0016019544768418,0.001483234847478,0.0013031462763011,-0.0019678246911027,5.00222516456783e-05,0.0013913328911656,0.0015288167635872,-0.0002053593551805,-0.0005956666454177,-0.0003008331501091,0.0017006183877299,-0.0013781103470743,-0.001645195865773,-0.0016434580357329,0.0012374136397253,0.0013639891154788,-4.422628995063603,0.4199348181959229,0.0032971416143212,-0.0109125890559406,-0.0031475769582207,-0.0004983008447718,-0.0023671472345754,0.0019028573175732,-0.0040941198912278,0.0059394083722402,0.0009931678708269,0.0009852373169156,0.0021489936163093,0.0014778426160243,0.0006478275369797,-0.003966347547306,0.0011274309879743,-0.0002198905148553,-0.0004548822737073,-0.0028310291734659,0.0084901907142904,-0.0018065202091937,0.0029718011229708,-0.0009917733015723,0.0047459203716653,-0.0040613698788277,-1.5924729363209231,0.05521527462312238,-0.0117149359539317,0.0150152041017654,1.3144281215981484,0.8053586898820182,-0.0054339733423576,1.645603740431835,,,,,,,,,,,,,,,,,,0.004051117648098,-0.4298798820977806
elespanol,0.0033462118422873,-0.0003769786903558,0.0015659799951983,-0.0035521612147252,0.0011129746975805,0.000971286468827,-0.0029455626660358,0.0010228875422099,3.513193902482392e-05,0.001345496541402,0.0050265661792749,0.0015638199303469,-0.0005391782568915,0.0010898063100949,-0.0009534086163827,0.0017889178404615,-0.0010881295515411,0.0002845759129502,0.0011355042855822,-0.0017009093376407,0.0007757725893075,-0.000757923826517,0.0027136528168505,-0.0020186216917177,-0.001575494693977,0.0006195306950679,0.0021071472132847,-0.0026240993087998,-0.0011088978337528,-0.0004017753560486,0.0037102983805584,-0.0039548219547299,0.0003374211085346,-0.0007142486156548,-0.0003634305393428,-0.0017553959029612,-0.0008401288819194,0.0016748523002711,0.0025422976346825,0.0005977057778614,0.14428985002759653,-0.37378547515150184,0.0052634497500463,-0.0094520562608285,-0.0036881834562306,0.0034404728798551,-0.0056914904252295,-0.0028430756591121,-0.0022546619760054,-0.0016842786108393,0.002491037028122,-3.214546465664728e-05,0.0043450500011637,0.0015305238608318,0.0006951554576464,-0.0055108571543681,0.0030665180547437,0.0006715610792457,0.0012258903820046,-0.001967281256277,0.0011225272415613,-0.0035304146605303,0.0001360993930467,-0.0041840157069345,0.002239542934767,-0.0048466756884093,-1.3415544105057355,0.6507899127783052,-0.0043535406443375,-0.0020392406214982,-1.0895239044951974,0.029045178658796512,-0.0135621975796297,0.3186562115316824,,,,,,,,,,,,,,,,,,,
elmundo,0.0028399257860229,0.0026507182621618,0.0014265718421601,-0.0010838027585486,0.0030796716434111,0.0009836021858358,-0.0012521213712204,-0.0003559531739868,-0.0003762754455048,0.0020423947435199,0.0073807908072145,-0.0001554966949847,-0.0015198453459331,0.0012655121467271,-0.0002529641361103,0.0012608907827964,-0.0016740647650748,0.0010353972078344,0.0009777155950291,-0.0014449820398794,0.0027463362779191,-0.0007354443830954,0.0012796877805393,-0.0005452354439084,-0.0010953997081288,5.157729547759435e-05,0.0016089682090682,-0.001737509605288,0.0006965174538601,-0.0002887630183113,0.0023235774459325,-0.005416064249018,-0.0018022984702881,0.0008077315326872,-3.039068219205365e-05,-0.0006676163981937,-0.0002241602793794,-0.0020569488976542,-0.0006384755299333,1.953895412584207e-06,2.0420446047438348,-0.37783298551649686,0.003010047551925,-0.0165097513532026,-0.007811500172934,0.0089987470227305,-0.0081836313658849,-0.002416949014002,-0.0008440690338626,0.0017324272583267,0.0027128227566758,-0.0010836110158652,0.0006706014402955,-4.686284724331018e-05,-0.0028516532114681,-0.0041886674587828,-0.0014397831015206,0.0010864594240671,-0.0057083800147994,-0.0029038760121719,0.0010848245572769,0.0030394816495791,-0.0005674948910525,-0.0039862258971742,-3.1545032233683615e-06,0.0059786545089365,-1.9087288905011386,0.7240072992894238,-0.0052603943289319,-0.0175587457083748,-2.4362862608683007,-1.5182267173221022,-0.0227412888736324,-1.179847293609504,,,,,,,,,,,,,,,,,,,
elpais,0.0059667111386285,-0.0042885143714374,0.0017327667682571,-0.0007236256582718,0.0019560601068977,-0.0014735774866104,-0.0030425899370316,9.513480339387766e-05,-0.0009699878801007,0.0018254325141522,0.0034354089952376,-0.0005508268154101,-0.0007872364016234,0.0019876522658285,-0.0013750746147146,0.0015298116859422,-0.0018732063184218,0.0006849403087721,0.0018961942358919,-0.0012494114476687,0.0011109245270643,-0.0016940259931293,0.0015035827608383,-0.0014999732628073,-0.0009559824874057,0.001152212267764,0.0013203532847259,-0.0020487590027619,-0.0005211514206655,-9.538755145051387e-05,0.001473790949609,-0.0014060441062738,-0.0014543541312257,-0.0002450976936742,0.0007966092078926,-0.0013798444166594,-0.0009682841482924,-0.0018970128009099,0.0011448805664165,0.0008684546904193,-1.2524798040568652,0.3585669907541914,0.0065912525654847,-0.0151037208527585,-0.0084534658397184,0.0042120385906878,-0.0043802041018635,0.008079220593648,0.0009767822190861,0.0056380193332333,0.0131989808247034,-0.0062760032437519,0.0092801159827073,3.400530802378371e-07,-0.0030570439035598,-0.0046472273972442,0.0038851185170553,-0.0001406683649615,0.0055936778652526,-0.0084474860255057,0.0028212577347725,-0.0046437165058102,0.0079208010934354,0.0040785727338335,-0.0001076016362325,-0.0014025550326622,-0.527794263716805,0.9073735453694975,-0.0143569089657438,0.0087534685405394,1.0226688037548002,-0.07055306760389553,-0.0097309830500816,0.9441090169991141,0.0060273500112378,-0.0152735609247397,0.007101036933076,-0.0109373646017883,0.0078526336598555,-0.0002701534622096,0.0110154838202846,0.0008306488850071,-0.0028460137229339,-0.0030073065005405,0.0140049082722066,0.0022399686732034,0.0076939685428891,-7.320643729733444e-05,-0.0029119065062033,1.9673613074407645,1.1978945987892131,0.0032376304788592,-0.46688464138426955
epe,0.0038976886521928,-0.003987174398331,0.0027384266369534,-0.0026200628374123,0.0020901145327014,-0.0035908063282281,-0.0024916661833238,0.0013167540433379,-0.000512852443244,0.002323838667498,0.0065438632651185,0.0002726310178278,0.0005585179376692,0.0019146767557861,-0.001897831664837,0.0002722164460149,-0.0032639434729342,0.002497443587464,0.0007674037857491,-0.0009680261253694,0.0006731177180831,-0.0006420044318576,0.0010879403370719,-0.0013585621172574,-0.0023735424577878,0.0005239952290857,0.0013214237387214,-0.0011101801724883,-3.1448300433138167e-05,0.0009777632737883,0.0009183368715124,-0.0007227090449387,-0.0007430631058123,-0.0006127732501849,-0.0009706888059232,-0.0015751954883951,-0.0007606584698378,0.0001221226751529,0.0035698264123782,0.0007211674222984,-1.0690204673809627,1.5295874617813396,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005298562027255,0.0068865645361555,-0.15281991613851964,0.7568005729618906,-0.0127169056882588,0.4566516646234625,,,,,,,,,,,,,,,,,,,
europapress,0.0086293816923419,-0.001067760937558,0.0028946433389022,-0.0069681747906905,7.351193953659269e-05,-0.0001310339864465,-0.002390696679766,5.551634736178715e-05,-0.0015270502774216,0.002053508773967,0.0094946639855761,0.0003120580507116,-0.0014027939577102,0.0006678769929055,-0.0003598749615567,0.0017839678118111,-0.001999652009878,6.406356727880341e-06,0.0012785318469998,-0.0011572472136077,0.0014911481674884,-0.0011728304646766,0.0009317867723807,-0.0013623243980232,-0.0008857114285307,-0.0008481276609005,0.0037420041401053,-0.001254515155803,-1.8563357737651763e-05,-0.000797646284956,0.0028304515339456,-0.0060511515935748,-0.0011274686002397,0.0017620770678467,0.0001910590211592,-0.0027698223485578,-0.0004170399848176,0.0005133029027518,0.0053613739908828,0.0004579980462047,1.2377423410509296,-0.7666121428352731,0.0141769943164325,0.0124220106871083,-0.0096093886592995,0.0051142778098346,-0.003574977240395,0.0095624907217721,0.0003210103391336,-0.0007993315439522,0.0010062208190861,-0.0034882001935987,0.0047027872707682,-0.0004903889888982,0.0093083728071193,-0.0045622763333777,0.003040253328039,0.0017793423164479,0.0059790255903973,-0.00640588175094,0.002276913741325,-0.0064794227247975,0.0019553491697973,-0.0008335240433758,0.0053030332661345,-0.0044948074421789,-0.05070136969858531,0.4821659946950412,-0.0059039612123948,-0.0009257587810351,-0.8143018267645485,-0.038537894629673816,-0.0302523633752329,-2.406043995169582,,,,,,,,,,,,,,,,,,,
lavanguardia,0.0063161448911514,-0.0045337927808525,0.003875882589416,-0.005799283157247,0.0018641091136607,0.0007988692510454,-0.0031330514766731,0.0003579891317909,-0.0017419082798084,0.0016878469618669,0.0084733621586712,0.0011255464836311,-0.0006484019426088,0.0015268921381218,-0.0008003904875195,0.0024827107905367,-0.0014247744545271,-0.000511036558272,0.0016417008331856,-0.0012625047641417,0.0013827201532592,-0.001175609008206,0.0017149493349476,-0.0022749221024003,-2.460537584579592e-05,0.0007397549718889,0.0020260487281026,-0.0013220501541889,-0.0012837772697283,-0.0001099721306763,0.002347127081978,-0.0012446495967346,-0.0008812891521622,0.0005029966245163,-0.0003301759914936,-0.0018301206096929,-0.0022352707835058,-0.002087326217926,0.0026902917212176,0.0012632333542655,-1.1247903342241408,-1.0097102688057684,0.0038683588164933,-0.0010055252570173,-0.0032850924460379,0.0039504525123965,-0.0024053654401408,0.008529211791524,0.0021527890493808,0.0022901605133715,0.001381096169427,-0.0008672582553965,0.00174848177998,-7.257890163281898e-05,0.0026649428376714,-0.004556576395411,-0.0043087584914107,-0.0008679464301002,-0.0005148943987504,-0.0050988495701249,0.0056245774267966,-0.0017483455681325,-7.089951691163776e-05,0.0039886215270916,0.0018101909674177,-0.0015981404677319,-1.3938578518858742,0.2955768658756495,-0.0116231450745884,-0.0003120145118673,-0.12480817430927135,-0.6135822185003978,-0.0191426820538938,-0.5923681238003357,,,,,,,,,,,,,,,,,,,
lavozdegalicia,0.0004085258095081,-0.0002715260084642,-0.0014872065565788,-0.0073351561432113,-0.0034292779272333,-0.0007728972425579,-0.0012403055932508,7.566970283991951e-05,0.0019778977722122,0.0019030253532029,0.0248554388222147,0.0002212842763703,-0.0017357239575677,-8.113385973852576e-05,0.000107818309395,0.0035525466505302,-0.0006038339518236,0.0004293879343357,0.0007361827194184,-0.0013817111027792,0.0038059683715444,0.0002114737454718,0.0005079591736548,-0.0004369091382133,-0.0004802418110264,0.0004167963950789,0.001413018165324,-0.0012423074552669,6.501163097676174e-05,0.0001132517378312,0.0055846729698596,-0.0186574506290049,0.003326385816465,-0.003189376987399,-0.0072645775258171,-0.0007856360650319,-0.0008535163662062,-0.0009672832425594,0.0040569420577694,0.0004256529846264,4.934885978729959,-3.8931692443325545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0214264791212747,-0.9652021877492843,,,,,,,,,,,,,,,,,,,
levante-emv,0.0011609617591368,-0.0020643616793002,0.002837623950197,-0.0030778083024589,0.0012103038931415,-0.0024755859931315,-0.0033762526716801,0.0020772388765232,-0.0017936011127286,0.0019422212054056,0.00123246024356,0.0006888067144254,-0.0013737601231818,0.001908975676523,-0.0002622875006461,0.0008885922900797,-0.001726125634347,0.0027261941330387,0.0020144452326961,-0.0013092690937879,0.0011196293692517,-0.0035937638922141,0.0009887504032485,-0.0016638884519915,-0.0016105418486249,0.0005776753915673,0.000728697055922,-0.0011960718247833,-4.803904134225703e-05,0.0005961728160945,0.0027699764566347,0.0007270666446845,-0.0013022050000378,-0.0007656113165256,0.0028154775400426,-0.0010173604492686,-0.0020343853919763,-0.0026616881838072,0.0004921216320522,0.0007912470850837,-2.4665778787006407,0.09956601579357881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0167617210260676,-0.20367186493065315,,,,,,,,,,,,,,,,,,,
abc,0.002071264537338,0.0020795497778372,4.004900029166807e-06,9.451583900930637e-05,-0.004334092284961,-0.0032715945791053,-0.0010557183394077,0.0002386098467951,0.0007378916035067,0.0011097353002742,0.0077652715528118,0.0011391702980379,-0.0006185363891188,0.0016186368938845,-0.0008443872613703,-0.0009057725979848,-0.0012656848909341,0.0014558800971104,0.0024697442409081,-0.0015880765915621,0.0005065891877741,-0.0012305071169826,0.0008143136320168,-0.0013222190444982,0.0002469403592145,0.0006664966022654,0.0041750691030688,-0.0010479838374333,0.000545702924764,-0.0006972669051956,0.0024671967470128,-0.0045390420315214,0.0019264649461392,-0.0007138415644145,-0.0019086780197429,-0.00226781437067,-0.0004689260724453,-0.0011179045955828,-0.0014499387364743,0.0001110349027355,2.2865281312744625,0.65499888312199,0.0044889009423863,-0.0074966729318535,-0.005248828184023,0.0113307456399225,0.0028068353706086,0.0052981568926471,0.000897387065742,-0.0048256448251559,0.0007274071067541,0.00033922473924,0.0019811583205997,-0.0001040185066606,0.0003865332754646,-0.0028966329298882,0.0005622513186572,0.0003313166973136,-0.0031872689759442,-0.0061288842449,0.0051651494852759,-0.0059059466852734,0.0188737106476949,0.0052083756436443,0.0001333420755272,0.008003535760568,-1.2456883802807377,-0.685554345867984,,,,,-0.0109091243226042,0.7517752913742155,,,,,,,,,,,,,,,,,,,
elnacional,0.0050631943622706,-0.0015269761041028,0.0039013027485918,-0.0009889863820019,0.0001333598634732,-0.002102092878427,-0.0025899834434183,0.0006709655308194,-0.0026772481145793,0.0026360353730203,0.0034926668418579,0.0004778979534534,-0.0038723726833801,0.0020366983367141,-8.928357561538772e-05,0.0014452371964304,-0.0012478880409149,0.0008022321166823,0.0029394056049158,-0.0011061876897604,0.0013255875348899,-0.0005793168606721,0.0019055540166085,-0.0025618735259869,-0.0018596039566452,0.0011757705920996,0.001392485316928,-0.0020390083765099,-0.0014593726976342,-0.0004754600951821,0.0009926387146125,-0.0011044999738769,-0.0005481439112266,-0.0007494916698679,0.0020280196912326,-0.0013558203171885,-0.0019214728558746,-0.000351832454624,-0.0040637789522184,0.002560148392573,-2.3815568739770945,-0.18846559212797012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0092066924011114,1.0297004279602306,,,,,,,,,,,,,,,,,,,
elperiodico,0.003150835838718,-0.0032717559462103,0.0004153055284221,-0.0019627974285799,0.0006491927587071,-0.0021729084626684,-0.0025977119422473,0.0009797622447774,-0.0007768709003227,0.0006104678695022,0.0033078875295036,0.0009403786697754,-0.0016883017196114,0.0019553191481981,-0.0034309484479371,0.0016716838343237,-0.0037157398848693,0.0010544273795109,0.0032487153160011,-0.0012035661579998,0.0021880287959134,-0.0010807876437663,0.0009543621946405,-0.0014460353295842,-0.0014400231022701,0.0013493734332859,0.0008039320655679,-0.0015760309185326,0.0004889673194791,0.0002532282685549,0.0011996997200172,-0.0022743933346957,0.001083297070739,-0.0009597175477814,0.0023543266570193,-0.0007003646020954,-0.0015772622254746,-0.0011656119424306,-0.0041209419135222,0.0016350945589267,-1.683854842120009,0.5564400636196687,0.0086170366426392,-0.0080669547791919,-0.0068489290584671,-0.0029191548346233,-0.0079383394502111,-0.0034010678617016,-0.0082624912765137,0.0022461881606098,0.0033131215861771,-0.006266576989181,0.006723151218846,-8.688638458535097e-05,0.0016857351161941,-0.0060242501146059,0.0037142297527115,0.0051446600474154,0.0013475180501694,-0.0145172546343871,0.0037389168212169,-0.0039851441936714,0.0049644958064658,-0.0107475856963078,-0.0023427454598335,-0.011227313377282,-0.911925753077465,1.5087357088783329,,,,,-0.0099763842297277,0.9040468239031889,,,,,,,,,,,,,,,,,,,
heraldo,0.0022920906326964,-0.0039589765343875,0.0005725676047319,-0.0047083830409032,-0.0029483568632553,-0.0009203667283143,-0.0014808169469476,0.0007538746398885,-0.0032894735754988,-0.0003504498702582,0.0012070468204311,0.0072829897171161,-0.0017617652983369,0.0004107259790531,-0.0002723243988358,0.0005407658524119,-0.001568179601797,0.0036330154264588,0.0006424633537851,-0.0010395078573371,0.0009926712933482,-0.003755900255829,0.0005294601241086,-0.000437903451028,-0.0005057763150876,0.0004899394221717,0.0043236942703544,-0.0005255762859332,1.221983169587386e-05,0.0002379967699751,0.0014632782723952,-0.0036569233805823,0.0011758342785744,-0.0005896095408687,0.0079727491242714,-0.0008565297359984,-0.0005624017020572,-0.0009957237321646,0.0079617264537493,-0.0002932806589747,-0.13742476849058455,0.579746151791497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0158214233958809,-0.05016655056131687,,,,,,,,,,,,,,,,,,,
lavozdeasturias,0.001001606686535,-0.0060462632214865,0.0010378308577389,-0.0025808860931844,0.0024798584755503,-0.0013800050949639,-0.0031450061230904,0.0012201817648247,-0.0016140197356741,0.0002273249248713,0.00342512350121,0.0016716314204975,-0.0032989904838972,0.0014793375003143,-0.0026277863200167,0.000753507929923,-0.0025050207189218,0.001544587545903,0.0009300730914892,-0.0022067116089824,0.0005519972730135,-0.0016677427271026,0.000944015317858,-0.0017638394059123,-0.0004967828270092,-0.0005534091396565,0.0021323809206229,-0.001786385969319,-0.0009160996854293,0.0002628234247121,0.0010110497735394,-0.0006458827961687,-0.0025521006016036,0.0014895053634728,-0.0005232829562467,-0.0047025620264984,-0.0003409863903986,0.0003377908608531,0.0042429698460499,0.0005022831353269,-0.9044866528118357,0.8682021763589142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0252438782573377,-1.5883996048673432,,,,,,,,,,,,,,,,,,,
publico,0.0067844374934578,-0.0043473788725746,0.0041505660775517,-0.0054887969077505,0.0031410569399156,-0.0044696165977839,-0.0048024461607896,0.0023714894188702,-0.0031454331455399,0.0010279829944857,0.000397567175274,0.002169299478984,-0.001422982561869,0.0030196871919973,-0.001608716837323,0.0028843021881722,-0.0024648229489634,0.001425932735475,0.0021530435983588,-0.0023913796761039,0.0014387097315662,-0.0025383835658891,0.0016380803304869,-0.0016188456422875,-0.0014178204880961,0.0018548836639084,0.0013166549528018,-0.0024714234144411,-2.8774412841358395e-05,0.0009859492784264,0.0022980571716257,-0.0002974826226857,-0.0011653111759564,-0.0010590859344663,0.0022113366975869,-0.00133147499719,-0.0022514992268643,-0.0017931033735836,0.0017204470469296,0.0017915266536379,-5.074006844229753,-0.7491369240955792,0.0101786754069852,0.01087741399813,-0.0056232231793747,0.0029761127347871,-0.0046908956146506,0.006508910242329,-0.00137056639686,0.0030987869911151,-0.0005359839113402,-0.0022117246919624,0.0066208100070176,-0.0001296466667208,0.0111552790999321,-0.0048267845277682,0.0017339024575517,-0.0004602590316083,0.0024556935356914,-0.0042815801747974,0.0022211487369923,-0.0066023546373679,0.0055356601324015,-8.745387238785415e-07,0.005230923864905,-0.0062261898470512,-0.009425274067785218,0.32930873327466526,-0.0115477257051119,0.0056765767082118,0.4252219783572412,-0.04687649478186203,-0.00659902465801,1.455406974297137,,,,,,,,,,,,,,,,,,0.0035392182908824,-0.4531656980380576
