level	number of topics	topics	topic_num	keywords
0	114	topic_0.0	0.0	energía, hidrógeno, baterías, renovables, solar, electricidad, solares, eólica, gw, energías
0	114	topic_1.0	1.0	ucrania, rusia, otan, guerra, putin, invasión, rusa, ruso, paz, conflicto
0	114	topic_2.0	2.0	siria, turquía, terremoto, arabia, erdogan, turco, saudí, magnitud, recep, terremotos
0	114	topic_3.0	3.0	película, cine, películas, ficción, star, hollywood, actor, estreno, serie, wars
0	114	topic_4.0	4.0	usuarios, netflix, amazon, internet, plataforma, web, móvil, compañía, móviles, meta
0	114	topic_5.0	5.0	proud, boys, tarrio, pirámide, fast, biyín, ito, alec, rubik, rambal
0	114	topic_6.0	6.0	irán, amini, kosovo, armas, iraní, mahsa, irak, islámico, velo, faso
0	114	topic_7.0	7.0	alumnos, universidad, educación, profesores, estudiantes, profesor, docentes, curso, alumnado, facultad
0	114	topic_8.0	8.0	guerra, nazis, hitler, nazi, franco, república, memoria, holocausto, civil, 1936
0	114	topic_9.0	9.0	mar, metros, costa, rocas, islas, kilómetros, isla, profundidades, océano, aguas
0	114	topic_10.0	10.0	instrucción, juzgado, villarejo, trama, juez, anticorrupción, audiencia, caso, fiscalía, mediador
0	114	topic_11.0	11.0	historia, siglo, ciudad, era, rey, pueblo, san, vida, nombre, fue
0	114	topic_12.0	12.0	cocaína, droga, guardia, criminal, civil, drogas, kilos, operación, detenido, hachís
0	114	topic_13.0	13.0	hospital, pacientes, urgencias, paciente, hospitales, sergas, salud, médico, profesionales, centro
0	114	topic_14.0	14.0	salud, mental, suicidio, medicamentos, población, ansiedad, depresión, anar, adolescentes, suicidios
0	114	topic_15.0	15.0	alquiler, vivienda, viviendas, pisos, alquileres, propietarios, piso, inmobiliario, inquilinos, turísticos
0	114	topic_16.0	16.0	ia, artificial, chatgpt, inteligencia, openai, gpt, lenguaje, chatbot, google, tecnología
0	114	topic_17.0	17.0	marruecos, sáhara, marroquí, marroquíes, saharaui, rabat, occidental, parlamento, polisario, saharauis
0	114	topic_18.0	18.0	vox, alcaldía, alcalde, concejales, municipales, pp, elecciones, partido, ayuntamiento, candidato
0	114	topic_19.0	19.0	sanidad, primaria, médicos, atención, huelga, consejería, sanitarios, pediatras, salud, pública
0	114	topic_20.0	20.0	tortilla, comida, restaurante, plato, comer, alimentos, patatas, platos, cocina, carne
0	114	topic_21.0	21.0	me, te, yo, gente, he, mi, si, le, eso, voy
0	114	topic_22.0	22.0	fútbol, jugador, jugadores, club, estadio, liga, copa, qatar, torneo, equipo
0	114	topic_23.0	23.0	ayuntamiento, alcalde, concejal, municipal, alcaldesa, ourense, josé, consistorio, luis, almeida
0	114	topic_24.0	24.0	programa, ana, rosa, telecinco, quintana, mediaset, presentador, tv3, televisión, radio
0	114	topic_25.0	25.0	banco, bank, bancos, criptomonedas, credit, suisse, bitcoin, bolsa, ubs, silicon
0	114	topic_26.0	26.0	viñeta, satírica, vergara, bernardo, caracteres, fontdevila, manel, corto, texto, demasiado
0	114	topic_27.0	27.0	madre, padre, hija, niña, hijo, hijos, padres, niños, había, bebé
0	114	topic_28.0	28.0	me, te, vida, qué, nos, cosas, si, algo, gente, tu
0	114	topic_29.0	29.0	derecha, extrema, izquierda, ultraderecha, política, derechas, partido, partidos, democracia, político
0	114	topic_30.0	30.0	música, canción, banda, rock, cantante, musical, disco, canciones, álbum, concierto
0	114	topic_31.0	31.0	violencia, mujeres, género, sexo, trans, derechos, ley, sexual, aborto, sexuales
0	114	topic_32.0	32.0	ucrania, rusas, ucranianos, ucraniano, tropas, ruso, rusos, ucranianas, rusia, kiev
0	114	topic_33.0	33.0	pobres, países, pobreza, población, economía, riqueza, país, españa, crisis, económica
0	114	topic_34.0	34.0	arqueólogos, restos, yacimiento, tumba, piedra, bronce, antigua, antiguo, antigüedad, hallazgo
0	114	topic_35.0	35.0	siglo, xix, tierra, color, fotografía, fotografías, fotos, árboles, lugar, arquitectura
0	114	topic_36.0	36.0	the, of, in, and, to, canción, you, on, for, it
0	114	topic_37.0	37.0	arte, obra, libros, literatura, libro, novela, historia, siglo, escritor, autor
0	114	topic_38.0	38.0	climático, calentamiento, clima, global, cambio, calor, temperaturas, climática, hielo, temperatura
0	114	topic_39.0	39.0	espacial, cohete, misión, nasa, luna, lanzamiento, satélites, utc, órbita, spacex
0	114	topic_40.0	40.0	prisión, sexual, cárcel, víctima, acusado, condenado, delito, agresión, sexuales, menor
0	114	topic_41.0	41.0	petróleo, gas, crudo, rusia, barriles, importaciones, exportaciones, sanciones, gnl, ruso
0	114	topic_42.0	42.0	huelga, sindicatos, ugt, sindicato, convenio, ccoo, patronal, trabajadores, cgt, laborales
0	114	topic_43.0	43.0	gráfico, truncado, vertical, eje, artículo, gráficos, publica, exagerar, economista, variaciones
0	114	topic_44.0	44.0	nuclear, nucleares, fusión, reactor, uranio, energía, reactores, fukushima, planta, combustible
0	114	topic_45.0	45.0	israel, israelí, palestinos, israelíes, netanyahu, palestina, palestino, cisjordania, jerusalén, gaza
0	114	topic_46.0	46.0	agua, doñana, sequía, parque, aguas, regadíos, andalucía, regadío, río, contaminación
0	114	topic_47.0	47.0	impuesto, irpf, impuestos, fiscal, hacienda, tributaria, fortunas, fiscales, sucesiones, renta
0	114	topic_48.0	48.0	buque, barco, bordo, puerto, barcos, embarcación, submarino, orcas, buques, titanic
0	114	topic_49.0	49.0	bacterias, machos, hembras, mamíferos, especies, investigadores, animales, microorganismos, estudio, microbiota
0	114	topic_50.0	50.0	conductor, vehículo, tráfico, coche, accidente, conductores, vehículos, carril, carretera, velocidad
0	114	topic_51.0	51.0	policía, agentes, heridos, hombre, heridas, calle, local, tiroteo, muerto, policiales
0	114	topic_52.0	52.0	coches, coche, eléctricos, vehículos, automóviles, eléctrico, motor, tesla, fabricantes, combustión
0	114	topic_53.0	53.0	trabajadores, laboral, trabajo, laborales, empresa, autónomos, empleados, empresas, trabajador, despido
0	114	topic_54.0	54.0	penas, sí, rebajas, pena, ley, revisiones, sexual, penal, condenas, condena
0	114	topic_55.0	55.0	ecológica, transición, demográfico, ribera, astún, estaciones, tajo, formigal, roya, reto
0	114	topic_56.0	56.0	metros, ciudad, vecinos, metro, zona, ayuntamiento, playa, habitantes, cuadrados, madrid
0	114	topic_57.0	57.0	xunta, galicia, xustiza, gallego, xeral, tsxg, concurso, monbus, comunidad, consello
0	114	topic_58.0	58.0	misiles, drones, aérea, avión, misil, dron, globo, aéreo, pentágono, defensa
0	114	topic_59.0	59.0	stream, nord, hersh, seymour, cia, gasoductos, assange, gasoducto, sabotaje, wikileaks
0	114	topic_60.0	60.0	redes, me, sociales, he, gente, te, mundo, serie, mi, qué
0	114	topic_61.0	61.0	millones, dólares, euros, ingresos, beneficio, año, 2022, neto, anterior, us
0	114	topic_62.0	62.0	virus, covid, gripe, aviar, brote, coronavirus, oms, h5n1, 19, granja
0	114	topic_63.0	63.0	iglesia, católica, papa, abusos, diócesis, vaticano, episcopal, religión, religiosa, obispos
0	114	topic_64.0	64.0	perú, boluarte, dina, castillo, obrador, méxico, protestas, guaidó, venezuela, maduro
0	114	topic_65.0	65.0	desantis, florida, gobernador, ron, republicanos, republicano, legisladores, disney, ley, texas
0	114	topic_66.0	66.0	bildu, eh, eta, pnv, vasco, navarra, matute, otegi, oskar, abertzale
0	114	topic_67.0	67.0	trump, donald, biden, fox, expresidente, news, carlson, capitolio, joe, greene
0	114	topic_68.0	68.0	tamames, moción, censura, olona, vox, pablo, macarena, iglesias, ramón, abascal
0	114	topic_69.0	69.0	feijóo, núñez, alberto, pp, sánchez, líder, pedro, partido, investidura, popular
0	114	topic_70.0	70.0	musk, twitter, elon, tesla, ceo, red, plataforma, tuit, blue, magnate
0	114	topic_71.0	71.0	juegos, juego, videojuegos, videojuego, pc, nintendo, rol, consola, spectrum, of
0	114	topic_72.0	72.0	romano, imperio, romana, roma, romanos, emperador, siglo, siglos, antigua, vii
0	114	topic_73.0	73.0	cáncer, enfermedad, células, enfermedades, tratamiento, síntomas, estudio, cerebro, tumores, investigadores
0	114	topic_74.0	74.0	especies, aves, especie, ejemplares, extinción, biodiversidad, conservación, fauna, animales, insectos
0	114	topic_75.0	75.0	constitucional, tc, cgpj, tribunal, magistrados, renovación, órgano, judicial, vocales, garantías
0	114	topic_76.0	76.0	detenido, policía, hombre, mujer, víctima, agentes, mossos, agresión, esquadra, joven
0	114	topic_77.0	77.0	europea, comisión, unión, ue, bruselas, europeo, leyen, fondos, der, von
0	114	topic_78.0	78.0	china, taiwán, chino, pekín, asiático, jinping, xi, brics, países, india
0	114	topic_79.0	79.0	guardia, civil, teniente, coronel, comandancia, cuarteles, jarava, guardias, tejera, internos
0	114	topic_80.0	80.0	euros, millones, cnmc, contratos, inversión, importe, empresas, sector, ferrovial, fondos
0	114	topic_81.0	81.0	temperaturas, grados, calor, temperatura, récord, aemet, ola, meteorología, lluvias, cálido
0	114	topic_82.0	82.0	premio, premios, oscar, goya, galardones, ganador, nobel, ganadora, academia, awards
0	114	topic_83.0	83.0	precios, supermercados, alimentos, cesta, iva, mercadona, productos, carrefour, compra, precio
0	114	topic_84.0	84.0	trenes, renfe, adif, tren, ferroviaria, velocidad, cercanías, estación, transportes, túnel
0	114	topic_85.0	85.0	pensiones, reforma, jubilación, macron, emmanuel, ministros, decreto, consejo, aprobado, medidas
0	114	topic_86.0	86.0	rey, carlos, felipe, emérito, juan, froilán, vi, borbón, reina, abu
0	114	topic_87.0	87.0	pib, trimestre, inflación, crecimiento, estadística, ine, interanual, tasa, economía, décimas
0	114	topic_88.0	88.0	castilla, león, gallardo, mañueco, junta, vicepresidente, latido, vox, bovina, tuberculosis
0	114	topic_89.0	89.0	electoral, voto, correo, elecciones, junta, votos, jec, melilla, correos, generales
0	114	topic_90.0	90.0	caza, animal, perros, animales, perro, cazadores, gatos, bienestar, pacma, animalista
0	114	topic_91.0	91.0	windows, google, apple, navegador, android, microsoft, linux, aplicaciones, software, desarrolladores
0	114	topic_92.0	92.0	mwh, precio, gas, tarifa, tope, megavatio, electricidad, regulada, mayorista, mercado
0	114	topic_93.0	93.0	telescopio, universo, webb, tierra, estrellas, galaxias, planetas, planeta, espacial, galaxia
0	114	topic_94.0	94.0	unido, reino, brexit, sunak, rishi, británico, irlanda, británicos, johnson, boris
0	114	topic_95.0	95.0	ley, congreso, proposición, enmiendas, diputados, psoe, unidas, norma, aprobó, texto
0	114	topic_96.0	96.0	sentencia, tribunal, supremo, justicia, superior, recurso, contencioso, administrativo, juzgado, indemnización
0	114	topic_97.0	97.0	ohio, descarrilamiento, tren, vagones, norfolk, southern, transportaba, explosión, químicos, accidente
0	114	topic_98.0	98.0	salario, empleo, smi, salarios, mínimo, interprofesional, salarial, subida, paro, laboral
0	114	topic_99.0	99.0	montero, irene, igualdad, ministra, sí, ley, belarra, ione, secretaria, penas
0	114	topic_100.0	100.0	escaños, votos, cis, elecciones, voto, generales, barómetro, psoe, sondeo, sociológicas
0	114	topic_101.0	101.0	erc, junts, puigdemont, malversación, borràs, sedición, procés, catalunya, referéndum, ponsatí
0	114	topic_102.0	102.0	carbono, residuos, dióxido, emisiones, toneladas, co2, envases, plástico, gases, plásticos
0	114	topic_103.0	103.0	ayuso, díaz, isabel, presidenta, madrid, comunidad, pp, madrileña, yolanda, candidata
0	114	topic_104.0	104.0	incendios, incendio, forestales, hectáreas, fuego, bomberos, llamas, forestal, monte, fuegos
0	114	topic_105.0	105.0	sumar, yolanda, podemos, izquierda, díaz, belarra, generales, montero, vicepresidenta, ione
0	114	topic_106.0	106.0	bolsonaro, brasil, lula, jair, silva, brasilia, luiz, inácio, brasileño, da
0	114	topic_107.0	107.0	prisión, cárcel, delito, audiencia, condena, fiscalía, condenado, pena, provincial, delitos
0	114	topic_108.0	108.0	tanques, combate, leopard, aviones, carros, ucrania, blindados, abrams, entrenamiento, airbus
0	114	topic_109.0	109.0	tipos, bce, interés, banco, bancos, hipotecas, inflación, subida, central, subidas
0	114	topic_110.0	110.0	humanos, derechos, bukele, salvador, onu, nayib, violaciones, naciones, nicaragua, crímenes
0	114	topic_111.0	111.0	wagner, prigozhin, mercenarios, pmc, yevgueni, yevgeny, ruso, putin, jefe, mercenario
0	114	topic_112.0	112.0	agricultores, explotaciones, agricultura, ganaderos, cosecha, ganadería, leche, cultivos, alimentación, trigo
0	114	topic_113.0	113.0	negreira, árbitros, enríquez, barça, club, fc, rfef, bartomeu, laporta, barcelona
1	20	topic_0.0	0.0	energía, temperaturas, más, calor, grados, temperatura, se, las, mar, espacial
1	20	topic_1.0	1.0	ucrania, guerra, rusia, trump, ruso, putin, otan, rusa, estados, presidente
1	20	topic_2.0	2.0	israel, bolsonaro, presidente, derechos, israelí, marruecos, brasil, gobierno, perú, humanos
1	20	topic_3.0	3.0	es, lo, no, una, más, como, su, con, un, pero
1	20	topic_4.0	4.0	musk, twitter, elon, coches, usuarios, millones, banco, más, coche, los
1	20	topic_5.0	5.0	rey, premio, carlos, covid, premios, juan, felipe, virus, gripe, emérito
1	20	topic_6.0	6.0	sanidad, huelga, trabajadores, vivienda, primaria, atención, médicos, trabajo, salud, alquiler
1	20	topic_7.0	7.0	no, es, por, derecha, ha, lo, ayuntamiento, al, se, que
1	20	topic_8.0	8.0	su, policía, un, años, una, se, le, fue, al, con
1	20	topic_9.0	9.0	policía, prisión, años, detenido, delito, hombre, mujer, guardia, víctima, cárcel
1	20	topic_10.0	10.0	siglo, romano, ciudad, arqueólogos, más, romana, restos, antigua, imperio, se
1	20	topic_11.0	11.0	pp, feijóo, vox, partido, elecciones, electoral, núñez, alberto, ayuso, sánchez
1	20	topic_12.0	12.0	viñeta, satírica, vergara, mwh, precio, bernardo, caracteres, gráfico, fontdevila, ohio
1	20	topic_13.0	13.0	especies, tierra, científicos, planeta, más, especie, es, animales, un, una
1	20	topic_14.0	14.0	the, juegos, juego, of, videojuegos, google, windows, videojuego, pc, apple
1	20	topic_15.0	15.0	millones, inflación, europea, año, euros, 2022, tipos, petróleo, banco, precios
1	20	topic_16.0	16.0	china, ucrania, rusia, nuclear, wagner, combate, estados, aviones, unidos, tanques
1	20	topic_17.0	17.0	agua, doñana, precios, trenes, sequía, supermercados, alimentos, ecológica, para, parque
1	20	topic_18.0	18.0	euros, pensiones, salario, impuesto, gobierno, empleo, xunta, reforma, galicia, impuestos
1	20	topic_19.0	19.0	ley, podemos, sí, pp, psoe, montero, constitucional, tribunal, ha, gobierno
2	4	topic_0.0	0.0	de, en, la, que, el, un, los, una, se, por
2	4	topic_1.0	1.0	de, la, el, en, los, que, del, se, las, un
2	4	topic_2.0	2.0	la, que, el, de, en, del, ha, los, las, por
2	4	topic_3.0	3.0	de, el, en, la, los, que, un, del, las, se
3	1	topic_0.0	0.0	de, la, el, en, que, los, un, del, las, se
