,PP,PSOE,CS,PODEMOS,IU,VOX,MasPais,PACMA
rtve,0.2403537985293184,0.36495091742878727,0.10170304140154529,0.03815502559493118,0.032185071220560156,0.11343800771710821,0.049081345502324965,0.06013279260542456
abc,0.42897842938141345,0.019741012122325406,0.24930257303949122,0.005902669161414278,0.007109300529531916,0.1956711532003283,0.017607227226416534,0.07568763533907896
elmundo,0.3324292083032302,0.035270499759524815,0.3119699118571247,0.015109866049509329,0.017733416165216905,0.19445183420053813,0.03806047674565353,0.054974786919202386
atresplayer,0.2657964716041047,0.4315442782635032,0.12447509722238478,0.03374166724014199,0.00658124422529929,0.017408917553185375,0.08831869940889223,0.03213362448248837
cope,0.35382325687884825,0.0315885697381452,0.18135909426158883,0.009917410467898477,0.006705819237635385,0.1739732336944394,0.014608841854616823,0.2280237738668275
okdiario,0.3099779913395654,0.0,0.043349682013716515,0.0006741046029109801,0.0010255654099701722,0.6396085377423961,0.0017873816582151232,0.0035767372332256254
larazon,0.38922778325182844,0.02353757860350508,0.21851466367335964,0.008210840199703301,0.017696661641626206,0.2393543243428168,0.019956714456135928,0.08350143383102465
ondacero,0.3121627801874441,0.26637393896949585,0.15792830599827934,0.023624182927704164,0.038337306101297756,0.007313298123463574,0.05219940529624478,0.14206078239607062
telecinco,0.2809395510254778,0.30982134377111614,0.10428160013336815,0.019489468697427778,0.005391050282502836,0.16728755546404336,0.037582641925262596,0.07520678870080158
vozpopuli,0.3203691397502093,0.00517709627041311,0.3572689707082681,0.0036119526898584133,0.005495131950102833,0.2781388299763631,0.010774188761439206,0.019164689893345938
youtube,0.0398511190818405,0.13227224712636496,0.06645041705339155,0.1995771904100442,0.2674044365496471,0.15818569358666482,0.07480704622348482,0.06145184996856217
elespanol,0.16598152683849726,0.04620857861697652,0.5099389000976199,0.01887147330159747,0.02631802639467953,0.059028641586930365,0.019285295706105286,0.15436755745759373
europapress,0.08780895743864461,0.040879235412195375,0.14299571385383916,0.06312558287405197,0.2641035063412135,0.08740781258418949,0.13309484928198392,0.180584342213882
elconfidencial,0.18355833585406256,0.04968887347599539,0.2515413871320198,0.06883855147978407,0.0421930598838598,0.15791036175283749,0.1411612162436154,0.10510821417782538
telemadrid,0.24719289962358654,0.05958587795222492,0.1047821989443447,0.0467683100755209,0.02767026282993599,0.10054157080373002,0.2204545948077902,0.1930042849628666
cuatro,0.26946015260047984,0.22628927127307985,0.1481786320107902,0.01315644425898227,0.013343917340570046,0.02715212046489704,0.13953672503814638,0.16288273701305436
canalsur,0.4869425311101691,0.2217131598823019,0.0892580683160201,0.009099098417849392,0.12458820935307682,0.05633584838731624,0.012063084533266393,0.0
eltorotv,0.053255417363912545,0.0,0.003514277632217532,0.0,0.0,0.94323030500387,0.0,0.0
elindependiente,0.30678056299650086,0.04328750711354084,0.3127149220788554,0.02642569640212619,0.005743339290871948,0.17237604113302882,0.05255060362748977,0.08012132735758636
cadenaser,0.050261333927360284,0.34766218943632216,0.04886926194688972,0.08599737500001234,0.12747947216777294,0.003981932214998175,0.24409960246265072,0.09164883284399367
eleconomista,0.32514451224395263,0.06826307528595417,0.19321932975424397,0.05556335374855617,0.04427901118752555,0.1801973161471723,0.06313957736162208,0.07019382427097319
elpais,0.03026494598565186,0.23600894251902002,0.07892544336408323,0.1600934411004221,0.08358225532654041,0.040203421579144034,0.24396476463302585,0.12695678549211242
lavanguardia,0.03781899311887767,0.12144729532523856,0.13324188864245393,0.1264500850162801,0.06937413050601907,0.056564935584363644,0.09132338073480921,0.3637792910719577
esdiario,0.21739127745947637,0.0,0.05313132250068267,0.0,0.0,0.09903069147155272,0.0,0.6304467085682882
libertaddigital,0.21905598934823314,0.0,0.13407823705329242,0.0,0.0,0.6455916788720609,0.0012740947264135646,0.0
20minutos,0.04891199092563451,0.06063552642536894,0.08683939109685247,0.17203687319871006,0.03218022238407801,0.03274005872709998,0.20003477234941616,0.36662116489283997
elperiodico,0.060588589153622585,0.21454074865638756,0.1700378429191471,0.15600516423927574,0.0882015101871652,0.08973594367624603,0.05310322109422322,0.16778698007393264
lasexta,0.027963793458317565,0.23592365125334747,0.09226529311655414,0.07289385977145785,0.13594051842054822,0.010918852342616267,0.18704259200596518,0.2370514396311934
lavozdegalicia,0.15015754753592891,0.05736644451275817,0.2056535722784307,0.018582282875339712,0.015222634737711006,0.02212494500261936,0.015160227215922847,0.5157323458412892
eldiario,0.0015412423226183855,0.1410701777857097,0.026152768351238812,0.23672316227784862,0.21328127631475763,0.006361880588687305,0.25757702464353377,0.11729246771560566
huffingtonpost,0.014394832330901457,0.29741794723921866,0.05088761701629281,0.16392684311067338,0.05840241210955804,0.006423614427486218,0.35349731581192917,0.055049417953940416
facebook,0.024031880214311744,0.18371729224865255,0.060413043961101025,0.11778311640829084,0.25297723031716274,0.01876716418798056,0.05740822851573997,0.28490204414676057
twitch,0.0036312054272161034,0.23633167541809816,0.005990500423483553,0.19236432622230046,0.06410606870745794,0.04820705967935605,0.3813246652938129,0.0680444988282748
infolibre,0.0,0.1835048814622585,0.004228595134613997,0.24053660857726442,0.20953371787363415,0.0060050410287946195,0.3356062333907138,0.020584922532720595
publico,0.0010347178340226015,0.05686749947940923,0.006259010055893523,0.3108766605617552,0.25296000489238296,0.001616079916024991,0.16264256814918177,0.2077434591113296
laultimahora,0.0,0.016304548262230305,0.0,0.8474632137032366,0.1211431033644623,0.0,0.0,0.015089134670070677
elsaltodiario,0.0,0.0,0.0,0.3143456261393544,0.17459458919192453,0.001544626044005204,0.213001544628956,0.29651361399575993
gaceta,0.0,0.0,0.0036691383758249863,0.0,0.0,0.9874001261406651,0.0,0.008930735483509963
