source,url,bias,reliability,
"La Verdad",https://www.laverdad.es/sociedad/abolicion-prostitucion-abre-20210329185513-ntrc.html,2.67,42.67,
"La Verdad",https://www.laverdad.es/murcia/ciudad-murcia/murcia-conmemora-pueblo-20210408131939-nt.html,-5.00,46.33,
"La Verdad",https://www.laverdad.es/murcia/mazarron/hombre-dude-meterme-20210330121027-nt.html,-6.67,46.33,
"El Mundo",https://www.elmundo.es/f5/comparte/2021/03/31/60645304fc6c83630c8b4651.html,-6.33,40.33,
"El Mundo",https://www.elmundo.es/yodona/lifestyle/2021/03/11/604753be21efa044688b4603.html,-0.33,46.00,
"El Mundo",https://www.elmundo.es/espana/2021/04/06/606c57b9fc6c833f2b8b4598.html,6.50,46.67,
"La Vanguardia",https://www.lavanguardia.com/politica/20210406/6629348/4-m-venezolanos-guaido-diaz-ayuso-elecciones-madrid.html,-18.00,27.67,
"La Vanguardia",https://www.lavanguardia.com/sucesos/20210406/6629705/empieza-juicio-agresion-sexual-manada-sabadell.html,-0.67,47.33,
"La Vanguardia",https://www.lavanguardia.com/vida/junior-report/20210318/6517779/matrimonio-homosexual-paso-mas-cerca-japon.html,-12.00,43.33,
"El Confidencial",https://www.elconfidencial.com/sucesos/2021-04-06/explotacion-mujeres-espana-rumania-policia_3021600/,0.00,49.00,
"El Confidencial",https://www.elconfidencial.com/mundo/2021-04-08/los-arrestos-migratorios-en-la-frontera-de-eeuu-llegan-al-mayor-nivel-en-20-anos_3026140/,0.67,47.67,
"El Confidencial",https://www.elconfidencial.com/espana/andalucia/2021-04-03/pitufeo-paca-camello-lgtb-torremolinos_3018419/,4.33,47.00,
"Ultima Hora",https://www.ultimahora.es/sucesos/ultimas/2021/04/07/1252979/sucesos-palma-detenido-interno-centro-menores-por-agredir-monitor.html,11.67,47.33,
"Ultima Hora",https://www.ultimahora.es/sucesos/ultimas/2021/02/03/1235343/sucesos-mallorca-detectan-llegada-pateras-alto-standing.html,6.67,43.67,
"Ultima Hora",https://www.ultimahora.es/noticias/local/2021/02/14/1238381/ley-trans-opinion-expertos-baleares.html,-5.33,39.00,
"Informacion",https://www.informacion.es/elda/2021/02/26/feligres-iglesia-elda-homosexual-gay-35715320.html,-8.67,41.00,
"Informacion",https://www.informacion.es/alicante/2021/04/09/comunidad-gitana-alicantina-siente-insultada-46206425.html,-17.00,39.33,
"Informacion",https://www.informacion.es/alicante/2021/03/24/cs-presenta-declaracion-institucional-mantener-45817844.html,-8.67,47.00,
"Publico",https://www.publico.es/deportes/racismo-futbol-seis-ejemplo-racistas-confirman-valencia-cadiz-hecho-aislado.html,-13.00,41.00,
"Publico",https://www.publico.es/sociedad/colectivos-lgtbi-saldran-calles-espana-reclamar-ley-trans.html,-16.00,43.67,
"Publico",https://www.publico.es/sociedad/15-detenidos-nueva-pelea-migrantes.html,-17.67,42.33,
"Larazon",https://www.larazon.es/madrid/20210216/yqdvv5weebgaxhmjkhprrt235u.html,18.67,42.67,
"Larazon",https://www.larazon.es/deportes/20210214/iacx524qrzhpjps5iphuxkk3xu.html,17.33,31.67,
"Larazon",https://www.larazon.es/madrid/20210406/4llwm2g4lfdu3lgtugg3cakkju.html,22.67,21.00,
"El Norte de Castilla",https://www.elnortedecastilla.es/opinion/acogida-20210311233401-nt.html,-10.33,28.67,
"El Norte de Castilla",https://www.elnortedecastilla.es/burgos/diputado-burgos-manda-20210318180946-nt.html,-8.00,47.67,
"El Norte de Castilla",https://www.elnortedecastilla.es/salamanca/subdelegada-gobierno-salamanca-20210409115723-nt.html,-8.33,42.67,
"Libertad Digital",https://www.libertaddigital.com/espana/2021-02-06/duelo-en-moncloa-las-femipsoes-de-carmen-calvo-vs-las-queer-de-irene-montero-6705825/,16.67,25.33,
"Libertad Digital",https://www.libertaddigital.com/espana/2021-03-11/el-gobierno-socialista-de-canarias-traslada-a-la-peninsula-a-177-menas-inmigrantes-ilegales-6718233/,20.67,33.33,
"Libertad Digital",https://www.libertaddigital.com/espana/2021-03-02/detenidos-cuatro-inmigrantes-por-una-presunta-violacion-grupal-en-el-sur-de-gran-canaria-mogan-6714822/,18.67,34.00,
"Info Libre",https://www.infolibre.es/noticias/politica/2021/04/16/asociaciones_trans_concentran_ante_sede_del_psoe_para_pedrirle_que_no_vete_ley_que_prepara_igualdad_119352_1012.html,-17.67,40.67,
"Info Libre",https://www.infolibre.es/noticias/politica/2021/04/05/unos_500_migrantes_llegaron_espana_primer_trimestre_del_ano_mas_que_mismo_periodo_2020_118891_1012.html,-4.33,49.67,
"Info Libre",https://www.infolibre.es/noticias/politica/2021/04/03/amanece_vandalizada_sede_cogam_con_pintadas_contra_ley_trans_cuerpo_equivocado_patriarcado_118834_1012.html,-10.67,47.33,
"Heraldo",https://www.heraldo.es/noticias/deportes/2021/04/08/aragon-se-une-al-movimiento-misma-pasion-la-campana-contra-el-machismo-en-el-deporte-1483440.html,-4.00,46.00,
"Heraldo",https://www.heraldo.es/noticias/internacional/2021/03/21/europa-paises-mediterraneo-critican-pacto-migratorio-1479363.html,-1.67,45.33,
"Heraldo",https://www.heraldo.es/noticias/opinion/2021/04/08/ni-omerta-ni-espectaculo-luisa-minana-la-rotonda-1483294.html,-7.67,30.00,
"La Voz de Galicia",https://www.lavozdegalicia.es/noticia/sociedad/2021/04/06/entidades-lgtbi-movilizaran-espana-exgiendo-ley-trans/00031617715690276676826.htm,-10.00,46.67,
"La Voz de Galicia",https://www.lavozdegalicia.es/noticia/galicia/2021/03/31/pandemia-complica-insercion-laboral-menores-bajo-tutela-publica-galicia/00031617154090586529736.htm,-11.33,46.00,
"La Voz de Galicia",https://www.lavozdegalicia.es/noticia/pontevedra/poio/2021/03/14/poio-unico-concello-adherido-provincia-kamelamos-chanelar/0003_202103P14C7993.htm,-7.67,42.67,
"El Pais",https://elpais.com/espana/2021-04-03/murcia-estrenara-el-proximo-curso-un-veto-parental-testimonial.html,-3.00,41.33,
"El Pais",https://elpais.com/espana/2021-04-06/la-tension-en-el-campamento-de-las-raices-provoca-una-reyerta-entre-migrantes-y-la-intervencion-de-la-policia.html,-10.00,43.00,
"El Pais",https://elpais.com/espana/catalunya/2021-02-28/en-este-restaurante-los-gitanos-pagais-por-adelantado.html,-12.67,44.33,
"ABC",https://www.abc.es/sociedad/abci-feministerio-irene-montero-crea-imagen-y-semejanza-202103072038_noticia.html,18.00,29.33,
"ABC",https://www.abc.es/internacional/abci-patrullas-turcas-acompanan-embarcaciones-migrantes-egeo-202104021544_noticia.html,13.33,41.00,
"ABC",https://www.abc.es/espana/abci-nuevo-asalto-valla-melilla-deja-tres-guardias-civiles-y-inmigrantes-heridos-202103081742_noticia.html,11.00,43.67,
"Ok Diario",https://okdiario.com/andalucia/boicoteado-banco-colores-trans-impuesto-ayuntamiento-socialista-huelva-7037737,17.33,31.33,
"Ok Diario",https://okdiario.com/espana/colapso-inmigrantes-ilegales-canarias-reactiva-viajes-polizones-hacia-peninsula-7049082,18.00,29.33,
"Ok Diario",https://okdiario.com/andalucia/ataques-machistas-del-socialista-entrena-diputada-del-pp-no-tiene-usted-verguenza-7054918,12.33,37.00,
"Diario Vasco",https://www.diariovasco.com/gipuzkoa/andrea-primera-universitaria-20210208125554-ntvo.html,-8.33,44.00,
"Diario Vasco",https://www.diariovasco.com/bidasoa/hondarribia/itsas-etxea-acoge-20210207002142-ntvo.html,-7.33,43.33,
"Diario Vasco",https://www.diariovasco.com/gipuzkoa/transexualidad-infantil-ayuda20210301192631-nt-20210301193208-nt.html,-11.33,43.00,
"Levante",https://www.levante-emv.com/comunitat-valenciana/2021/03/22/migrantes-piensan-racismo-precio-vivir-43700741.html,-17.33,35.67,
"Levante",https://www.levante-emv.com/comunitat-valenciana/2021/03/26/oltra-reaviva-choque-feminismo-clasico-45901103.html,-14.00,35.67,
"Levante",https://www.levante-emv.com/valencia/2021/04/13/vecinos-pelayo-han-reunido-quinientas-46530359.html,6.33,47.33,
"Ideal",https://www.ideal.es/almeria/almeria/inmigrantes-cobran-almerienses-20210321173219-nt.html,-8.67,43.33,
"Ideal",https://www.ideal.es/almeria/almeria/condenado-prision-patronear-20210224164433-nt.html,-2.33,45.00,
"Ideal",https://www.ideal.es/jaen/jaen/victima-pandemia-denuncias-20210316193910-nt.html,-8.00,42.33,
"Faro de Vigo",https://www.farodevigo.es/ourense/2021/03/28/o-carballi-o-tierra-emigrantes-45945853.html,-6.00,46.33,
"Faro de Vigo",https://www.farodevigo.es/gran-vigo/2021/01/24/vigo-planta-cara-homofobia-30607270.html,-16.00,41.00,
"Faro de Vigo",https://www.farodevigo.es/gran-vigo/2021/02/24/poblacion-extranjera-motor-demografico-vigo-35398446.html,-7.00,46.67,
"elDiario.es",https://www.eldiario.es/desalambre/desperte-habia-ido-senegal-sufre-jovenes-arriesgan-llegar-europa_1_7324191.html,-16.00,43.67,
"elDiario.es",https://www.eldiario.es/sociedad/colectivo-trans-manifiesta-visibilidad-regularizacion-debemos-seguir-luchando-arrojar-transfobia-pasado_1_7368047.html,-19.33,38.33,
"elDiario.es",https://www.eldiario.es/sociedad/organizaciones-lgtbi-llaman-movilizacion-impulsar-desbloqueo-ley-trans_1_7379919.html,-12.67,42.67,
"El Periodico",https://www.elperiodico.com/es/sociedad/20210406/colectivos-trans-ley-trans-psoe-protesta-11637638,-2.67,40.67,
"El Periodico",https://www.elperiodico.com/es/sociedad/20210407/prestamos-40-ahogan-inmigrantes-papeles-11629951,0.67,43.33,
"El Periodico",https://www.elperiodico.com/es/entre-todos/participacion/feminismo-negocio-11619665,-1.33,27.00,
"La Nueva Espana",https://www.lne.es/asturias/2021/04/13/cese-interinos-retrasa-sentencias-violencia-46698144.html,-1.67,42.00,
"La Nueva Espana",https://www.lne.es/sucesos/2021/02/03/inmigrantes-cambian-patera-barco-recreo-33940497.html,8.33,33.67,
"La Nueva Espana",https://www.lne.es/asturias/2021/03/11/canarias-deriva-asturias-16-menores-40288151.html,6.00,43.67,
"El Correo",https://www.elcorreo.com/familias-bbk-family/denuncian-familias-lgtbi-20210119185628-nt.html,-15.00,39.33,
"El Correo",https://www.elcorreo.com/bizkaia/manifestacion-contra-racismo-bilbao-20210321174547-nt.html,-12.00,43.00,
"El Correo",https://www.elcorreo.com/bizkaia/menores-extranjeros-acompanados-20210126214454-nt.html,2.67,42.00,
"Diario Sur",https://www.diariosur.es/malaga/exposicion-mujer-gitanos-20210408161406-nt.html,-6.33,43.00,
"Diario Sur",https://www.diariosur.es/internacional/inmigrantes-mueren-mediterraneo-20210424000149-ntvo.html,-12.33,45.33,
"Diario Sur",https://www.diariosur.es/axarquia/rincon/rincon-victoria-visibiliza-dia-contra-lgtbifobia-20210505134523-nt.html,-7.00,44.33,
"Ara",https://es.ara.cat/internacional/senegal-pais-afligido-pandemia-inmigracion_130_3942361.html,-13.33,53.67,
"Ara",https://es.ara.cat/sociedad/gobierno-espanol-permitir-cambio-sexo-16-anos-informe-medico-ley-trans_1_3843159.html,-1.00,38.67,
"Voz Populi",https://www.vozpopuli.com/espana/medicamento-desabastecimiento-trans.html,-2.33,47.00,
"Ara",https://es.ara.cat/sociedad/gitanas-reivindican-feminismo-renunciar-identidad_1_3940699.html,-13.00,41.67,
"Voz Populi",https://www.vozpopuli.com/bienestar/como-saber-bisexual-senales.html,0.67,24.67,
"Voz Populi",https://www.vozpopuli.com/espana/gobierno-inmigrantes-canarias.html,10.67,43.67,
"Huffington Post - Spain",https://www.huffingtonpost.es/entry/kate-winslet-carga-contra-hollywood-por-homofobia_es_606ae144c5b66c4ab6b4e4a1,-11.33,35.00,
"Huffington Post - Spain",https://www.huffingtonpost.es/entry/el-pp-recurre-la-ampliacion-de-la-ley-catalana-sobre-la-erradicacion-de-la-violencia-machista_es_60702baec5b6a74b3bd9671a,-10.00,43.33,
"Huffington Post - Spain",https://www.huffingtonpost.es/entry/campamento-las-raices-tenerife-detenidos_es_606cadd6c5b6c55118b8bb9d,-18.67,34.67,
"El Español",https://www.elespanol.com/deportes/otros-deportes/20210406/organizaciones-lgtbi-rechazar-propuestas-psoe-ley-trans/571692867_0.html,7.67,47.33,
"El Español",https://www.elespanol.com/espana/20210328/fallecidos-desaparecidos-volcar-patera-murcia/569443208_0.html,7.00,49.00,
"El Español",https://www.elespanol.com/reportajes/20210403/brutal-agresion-policias-mallorca-interrumpir-fiesta-ilegal/570943310_0.html,14.00,29.33,
"El Mundo",https://www.elmundo.es/cataluna/2021/03/25/605c4715fc6c83874a8b45ca.html,-2.67,48.67,
"El Mundo",https://www.elmundo.es/espana/2021/04/13/60756cdb21efa0b0218b45c5.html,6.00,47.00,
"Ultima Hora",https://www.ultimahora.es/noticias/local/2021/02/18/1239877/estafa-mallorca-del-fitness-estafas-inmigracion-ilegal.html,0.00,36.67,
"Ultima Hora",https://www.ultimahora.es/noticias/sociedad/2021/03/16/1246997/historia-mallorca-margarida-borras-primera-transexual-isla.html,-5.33,45.33,
"El Norte de Castilla",https://www.elnortedecastilla.es/segovia/ayuntamiento-cuellar-adhiere-20210412120934-nt.html,-2.00,45.67,
"El Norte de Castilla",https://www.elnortedecastilla.es/castillayleon/castilla-leon-primera-20210203103500-nt.html,-2.00,48.00,
"El Norte de Castilla",https://www.elnortedecastilla.es/castillayleon/familias-etnia-gitana-renta-garantizada-20210407174550-nt.html,0.00,49.67,
"La Verdad",https://www.laverdad.es/murcia/lorca/lorca-conmemorara-pueblo-20210407122051-nt.html,-2.33,46.33,
"La Verdad",https://www.laverdad.es/murcia/despliegan-pancartas-murcia-20210308134419-nt.html,7.67,41.33,
"La Verdad",https://www.laverdad.es/murcia/muertos-desaparecidos-naufragio-20210329003707-ntvo.html,3.00,47.67,
"Publico",https://www.publico.es/sociedad/ley-trans-centenar-asociaciones-lgtbiq-reclaman-ley-trans-reconozca-identidad-genero-declarada.html,-11.67,44.67,
"Publico",https://blogs.publico.es/rosa-espinas/2021/03/31/un-mantero-en-la-asamblea-de-madrid/,-22.33,27.33,
"Publico",https://www.publico.es/sociedad/migrantes-acceso-justicia-denuncian-interior-onu-sancionar-migrantes-situacion-irregular-comisaria.html,-7.67,48.00,
"El Confidencial",https://www.elconfidencial.com/television/programas-tv/2021-04-06/first-dates-cita-bronca-julen-cristian-gitano-cuatro_3022288/,-1.00,32.00,
"El Confidencial",https://www.elconfidencial.com/espana/2021-04-06/sanchez-senegal-reto-migratorio-repatriaciones_3021131/,10.67,44.00,
"El Confidencial",https://blogs.elconfidencial.com/juridico/tribuna/2021-04-05/sexo-no-es-genero-un-recurso-ante-el-constitucional-necesario-y-oportuno_3019512/,9.33,34.00,
"La Vanguardia",https://www.lavanguardia.com/television/20210406/6630995/television-venezolana-censura-escena-gay-telenovela-eneamiga-jorge-roig.html,-3.67,41.67,
"La Vanguardia",https://www.lavanguardia.com/deportes/futbol/20210406/6630350/diakhaby-juan-cala-insulto-racista-cadiz-valencia-liga.html,1.33,48.00,
"La Vanguardia",https://www.lavanguardia.com/vida/20210403/6625401/cogam-madrid-lgtb-pintadas-fachada.html,-3.00,48.67,
"Libertad Digital",https://www.libertaddigital.com/espana/2021-03-09/ley-trans-vox-pide-acabar-con-la-ideologia-de-genero-por-ser-toxica-anticientifica-antiinfantil-y-antifeminista-6717258/,9.00,43.00,
"Libertad Digital",https://www.libertaddigital.com/espana/politica/2021-02-22/transexuales-contra-la-ley-trans-irene-montero-esto-nos-averguenza-6712226/,18.67,32.67,
"Libre Mercado",https://www.libremercado.com/2021-04-09/elecciones-madrid-2021-indignacion-comerciantes-fichaje-mantero-pablo-iglesias-la-justicia-debe-actuar-serigne-mbaye-6743653/,15.00,35.67,
"Heraldo",https://www.heraldo.es/noticias/aragon/zaragoza/2021/04/09/abusos-sexuales-fiestas-pilar-zaragoza-juicio-grabacion-taxi-1483534.html,2.00,46.00,
"Heraldo",https://www.heraldo.es/noticias/internacional/2021/03/12/un-posible-crimen-homofobo-cometido-por-tres-menores-conmociona-a-belgica-1477347.html,-1.67,49.00,
"Heraldo",https://www.heraldo.es/noticias/internacional/2021/03/24/ya-estoy-en-estados-unidos-inmigracion-cuba-mexico-1480333.html,-1.33,42.67,
"Larazon",https://www.larazon.es/espana/20210404/qesueshfvba3faahuc5vnnbtka.html,15.33,21.67,
"Larazon",https://www.larazon.es/murcia/20210328/misd4zuyxbcrbgcmrtujt6asia.html,5.67,46.33,
"Larazon",https://www.larazon.es/madrid/20210302/wgrm7s5wqbe4tp52oig5plh3yu.html,3.00,47.33,
"Info Libre",https://www.infolibre.es/noticias/politica/2021/03/29/la_llegada_pateras_cayucos_repunta_canarias_durante_fin_semana_con_ocho_embarcaciones_320_migrantes_118635_1012.html,-1.33,50.33,
"Info Libre",https://www.infolibre.es/noticias/politica/2021/04/07/negociacion_ley_trans_igualdad_psoe_colectivos_lgtbi_118944_1012.html,-2.33,49.00,
"Info Libre",https://www.infolibre.es/noticias/politica/2021/04/08/faes_entra_lleno_debate_ley_trans_mano_lidia_falcon_quieren_abolir_realidad_legalizar_fantasia_118992_1012.html,-4.33,43.67,
"Informacion",https://www.informacion.es/sucesos/2021/03/26/interceptadas-pateras-21-personas-bordo-45907288.html,1.33,48.33,
"Informacion",https://www.informacion.es/sucesos/2021/03/16/trece-inmigrantes-confinados-hostal-san-43289894.html,0.00,48.00,
"Informacion",https://www.informacion.es/alicante/2021/03/02/dudas-igualdad-lgtbi-37155020.html,-3.67,46.00,
"Huffington Post - Spain",https://www.huffingtonpost.es/entry/nino-perdido-frontera-estados-unidos-migrantes_es_606e5f7dc5b6c70eccad9e79,-3.33,46.00,
"Huffington Post - Spain",https://www.huffingtonpost.es/entry/a-los-50-anos-del-i-congreso-internacional-del-pueblo-gitano-600-anos-de-dignidad_es_606c93edc5b6c00165c6724d,-7.33,41.00,
"Huffington Post - Spain",https://www.huffingtonpost.es/entry/mas-madrid-pone-en-un-compromiso-a-pp-y-cs-al-pedirles-que-veten-el-pin-parental_es_606adf78c5b6832c79396d6d,-8.00,42.67,
"Ultima Hora",https://www.ultimahora.es/sucesos/ultimas/2021/04/12/1254457/condenado-expulsion-espana-por-tirar-joven-por-escaleras-discoteca-cala-major.html,1.67,41.33,
"El Pais",https://elpais.com/espana/2021-04-04/si-hubiese-sabido-la-realidad-que-me-encontre-en-canarias-nunca-habria-venido.html,-2.67,47.00,
"El Pais",https://elpais.com/sociedad/2021-03-03/irene-montero-sobre-la-ley-trans-no-puedo-ceder-sera-ley-esta-legislatura.html,-2.00,49.00,
"El Pais",https://elpais.com/espana/2021-03-30/el-hotel-para-migrantes-que-nunca-cerro.html,-2.00,48.00,
"ABC",https://www.abc.es/espana/abci-catorce-detenidos-canarias-como-patrones-siete-pateras-murieron-cinco-inmigrantes-202103301302_noticia.html,1.33,46.33,
"ABC",https://www.abc.es/sociedad/abci-solo-entra-envite-calvo-y-apuesta-regular-prostitucion-202103230119_noticia.html,3.33,47.67,
"ABC",https://www.abc.es/deportes/futbol/abci-cala-enfrenta-castigo-cinco-anos-si-prueba-insulto-202104060106_noticia.html,2.00,46.67,
"El Periodico",https://www.elperiodico.com/es/entre-todos/20210407/gitanos-historia-pendiente-11640658,-7.33,41.33,
"El Periodico",https://www.elperiodico.com/es/sociedad/20210210/fiscalia-denuncia-bastion-frontal-pancartas-11509328,-1.67,47.33,
"El Periodico",https://www.elperiodico.com/es/economia/20210404/trabajadoras-lesbianas-ganan-hetero-gais-11613497,-6.67,42.00,
"Faro de Vigo",https://www.farodevigo.es/galicia/2021/04/07/menores-fuera-sue-an-futuro-46133251.html,-2.33,45.33,
"Faro de Vigo",https://www.farodevigo.es/arousa/2021/04/01/desempleo-acoso-escolar-complicado-dia-46026710.html,-1.00,44.67,
"Faro de Vigo",https://www.farodevigo.es/gran-vigo/2021/03/20/acoso-trans-viguesa-dicen-acabar-43552439.html,0.00,45.67,
"Diario Vasco",https://www.diariovasco.com/gipuzkoa/territorio-hostil-diferente-20210412194712-nt.html,-2.67,48.00,
"Diario Vasco",https://www.diariovasco.com/gipuzkoa/voces-infierno-20210328175514-nt.html,-2.00,43.00,
"Diario Vasco",https://www.diariovasco.com/gipuzkoa/xxiv-marcha-racismo-20210317132804-nt.html,-1.00,46.33,
"El Español",https://www.elespanol.com/quincemil/articulos/vivir/visibilidad-trans,-5.33,31.00,
"El Español",https://www.elespanol.com/espana/madrid/20210331/monasterio-dice-eur-mes-mena-ayudas-espanoles/570193345_0.html,13.67,26.33,
"El Español",https://www.elespanol.com/deportes/otros-deportes/20210324/ataque-lgtbifobia-roja-directa-andalucia-observatorio-cadiz/568444346_0.html,-2.33,45.67,
"La Voz de Galicia",https://www.lavozdegalicia.es/noticia/sociedad/2021/02/04/gobierno-unidas-podemos-enfrentan-vez-ley-trans/0003_202102G4P26993.htm,-0.67,47.67,
"La Voz de Galicia",https://www.lavozdegalicia.es/noticia/espana/2021/03/31/monasterio-critica-de-4700-mes-mena-defiende-ayudas-sociales-espanoles/00031617183705118806719.htm,14.00,26.33,
"Ara",https://es.ara.cat/politica/catalanes-origen-marroqui-lugar-parlament_1_3944523.html,-0.67,44.67,
"Ara",https://es.ara.cat/sociedad/familiares-menores-a-favor-borrador-ley-trans-genero-cambio-nombre-derechos-lgtbi_1_3844123.html,-4.00,42.00,
"Ara",https://es.ara.cat/sociedad/crisis-covid-lleva-limite-trabajadores-inmigrantes-precarios_1_3895125.html,-4.00,46.00,
"elDiario.es",https://www.eldiario.es/politica/psoe-propone-personas-trans-aporten-documentacion-acredite-cambio-sexo_1_7366918.html,-0.67,48.67,
"elDiario.es",https://www.eldiario.es/desalambre/vernos-oscuridad-migrantes-enfrentan-avances-tecnologicos-protegen-fortaleza-ue_1_7357159.html,-7.00,44.00,
"elDiario.es",https://www.eldiario.es/sociedad/partidos-registran-ley-trans-congreso-sortear-bloqueo-gobierno_1_7318372.html,-1.67,48.00,
"Ok Diario",https://okdiario.com/opinion/hegemonia-izquierda-cuestionada-pin-parental-7054649,21.00,22.00,
"Ok Diario",https://okdiario.com/sociedad/detenido-sol-escupir-intentar-asfixiar-otro-maricon-7068574,0.00,47.00,
"Ok Diario",https://okdiario.com/andalucia/llegan-cuatro-pateras-61-inmigrantes-ilegales-mas-costas-andaluzas-7057624,5.33,46.33,
"Voz Populi",https://www.vozpopuli.com/espana/lidia-falcon-trans-feminismo.html,9.33,31.00,
"Voz Populi",https://www.vozpopuli.com/espana/marlaska-secreto-radar.html,2.33,45.67,
"Voz Populi",https://www.vozpopuli.com/espana/defensor-estudiantes-inmigracion.html,1.67,41.33,
"El Correo",https://www.elcorreo.com/opinion/tribunas/vueltas-parental-20210412214159-nt.html,-7.33,35.00,
"El Correo",https://www.elcorreo.com/opinion/editoriales/inmigracion-europa-20201221233117-nt.html,2.00,36.33,
"El Correo",https://www.elcorreo.com/bizkaia/gobierno-central-responde-20210208201551-nt.html,-1.67,46.33,
"La Nueva Espana",https://www.lne.es/sociedad/2021/04/06/espana-imitara-modelo-centro-violencia-46132695.html,0.00,46.00,
"La Nueva Espana",https://www.lne.es/sociedad/2021/02/11/xega-denuncia-campana-desinformacion-torno-34423338.html,-2.00,44.33,
"La Nueva Espana",https://www.lne.es/aviles/2021/02/26/africanos-aviles-graban-videos-disuadir-35651310.html,-1.67,44.00,
"Ideal",https://www.ideal.es/almeria/almeria/almeria-acumula-ochenta-cadaveres-identificar-interior-desaparecidos-20210405224036-nt.html,-2.00,46.33,
"Ideal",https://www.ideal.es/jaen/jaen/barrio-almendral-pinta-20210411202907-nt.html,-0.67,47.33,
"Ideal",https://www.ideal.es/sociedad/viuda-gitana-demanda-20210222182242-ntrc.html,-0.67,46.33,
"Levante",https://www.levante-emv.com/comunitat-valenciana/2021/02/05/ley-trans-discordia-34085269.html,-0.67,46.33,
"Levante",https://www.levante-emv.com/comunitat-valenciana/2021/03/30/lambda-denuncia-ataques-sede-encontrar-45982425.html,0.00,44.67,
"Levante",https://www.levante-emv.com/comunitat-valenciana/2021/03/27/muertes-migrantes-costa-mediterranea-quintuplican-45925477.html,-0.67,47.67,
"Diario Sur",https://www.diariosur.es/malaga/baja-llegada-pateras-20210405232432-nt.html,1.67,46.67,
"Diario Sur",https://www.diariosur.es/malaga/colectivo-lgtbi-pide-20210517203648-nt.html,-2.00,47.00,
"Diario Sur",https://www.diariosur.es/malaga-capital/castanetas-existe-campanillas-ayuntamientomalaga-20210508212120-nt.html,-1.00,46.33