source,domain,bias,reliability,
"Libre Mercado",.libremercado.com,15.00,35.67,
"Ara",.ara.cat,-9.58,44.44,
"Info Libre",.infolibre.es,-10.47,46.78,
"La Verdad",.laverdad.es,0.19,45.11,
"Faro de Vigo",.farodevigo.es,-8.44,44.94,
"El Norte de Castilla",.elnortedecastilla.es,-7.38,43.72,
"Ultima Hora",.ultimahora.es,5.36,42.22,
"Diario Sur",.diariosur.es,-6.93,45.44,
"Diario Vasco",.diariovasco.com,-7.58,44.61,
"Ideal",.ideal.es,-6.03,45.11,
"La Nueva Espana",.lne.es,3.78,42.28,
"Informacion",.informacion.es,-9.31,44.94,
"Levante",.levante-emv.com,-6.76,42.89,
"Voz Populi",.vozpopuli.com,6.86,38.89,
"Heraldo",.heraldo.es,-4.15,43.17,
"Publico",.publico.es,-15.81,41.17,
"El Correo",.elcorreo.com,-8.96,40.33,
"Libertad Digital",.libertaddigital.com,17.71,33.67,
"La Voz de Galicia",.lavozdegalicia.es,-3.57,41.87,
"Huffington Post - Spain",.huffingtonpost.es,-11.97,40.44,
"Larazon",.larazon.es,18.08,28.22,
"El Periodico",.elperiodico.com,-5.08,40.28,
"elDiario.es",.eldiario.es,-13.62,44.22,
"Ok Diario",.okdiario.com,16.55,31.00,
"El Confidencial",.elconfidencial.com,7.00,42.28,
"El Español",.elespanol.com,8.98,38.11,
"La Vanguardia",.lavanguardia.com,-10.50,42.78,
"ABC",.abc.es,11.73,42.44,
"El Mundo",.elmundo.es,0.33,45.73,
"El Pais",.elpais.com,-8.36,45.44